PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
1629632,31,Coby White,1610612741,CHI,74,33.1,6.9,15.1,0.453,2.9,7.9,0.37,3.7,4.1,0.902,0.3,3.4,3.7,4.5,0.9,0.2,2.4,20.4,22.7
1628970,32,Miles Bridges,1610612766,CHA,64,31.7,7.3,17.0,0.431,2.2,7.0,0.313,3.5,4.0,0.87,1.1,6.4,7.5,3.9,0.7,0.7,2.1,20.3,24.7
1627783,33,Pascal Siakam,1610612754,IND,78,32.7,7.9,15.2,0.519,1.6,4.2,0.389,2.9,3.9,0.734,1.7,5.2,6.9,3.4,0.9,0.5,1.4,20.2,26.2
1630559,34,Austin Reaves,1610612747,LAL,73,34.9,6.5,14.2,0.46,2.7,7.3,0.377,4.4,5.0,0.877,0.8,3.7,4.5,5.8,1.1,0.3,2.4,20.2,26.2
1630567,35,Scottie Barnes,1610612761,TOR,65,32.8,7.3,16.4,0.446,1.2,4.3,0.271,3.5,4.6,0.755,1.7,6.0,7.7,5.8,1.4,1.0,2.8,19.3,26.8
1629014,36,Anfernee Simons,1610612757,POR,70,32.7,6.8,16.1,0.426,3.1,8.5,0.363,2.5,2.8,0.902,0.4,2.3,2.7,4.8,0.9,0.1,2.0,19.3,18.9
1630217,37,Desmond Bane,1610612753,ORL,69,32.0,7.1,14.8,0.484,2.4,6.1,0.392,2.6,2.9,0.894,0.9,5.2,6.1,5.3,1.2,0.4,2.4,19.2,24.7
1627734,38,Domantas Sabonis,1610612758,SAC,70,34.7,7.5,12.8,0.59,0.9,2.2,0.417,3.1,4.1,0.754,3.8,10.1,13.9,6.0,0.7,0.4,2.9,19.1,35.1
1630578,39,Alperen Sengun,1610612745,HOU,76,31.5,7.5,15.0,0.496,0.3,1.2,0.233,3.9,5.6,0.692,3.4,6.9,10.3,4.9,1.1,0.8,2.6,19.1,30.0
203944,40,Julius Randle,1610612750,MIN,69,32.3,6.6,13.6,0.485,1.6,4.6,0.344,3.9,4.9,0.806,2.1,5.0,7.1,4.7,0.7,0.2,2.8,18.7,25.4
1630169,41,Tyrese Haliburton,1610612754,IND,73,33.6,6.5,13.8,0.473,3.0,7.7,0.388,2.6,3.0,0.851,0.6,3.0,3.5,9.2,1.4,0.7,1.6,18.6,27.2
1631101,42,Shaedon Sharpe,1610612757,POR,72,31.3,6.9,15.3,0.452,2.0,6.6,0.311,2.6,3.4,0.785,0.9,3.6,4.5,2.8,0.9,0.2,2.1,18.5,19.0
1630596,43,Evan Mobley,1610612739,CLE,71,30.5,7.1,12.8,0.557,1.2,3.2,0.37,3.1,4.3,0.725,2.3,7.0,9.3,3.2,0.9,1.6,2.0,18.5,28.9
202696,44,Nikola Vučević,1610612741,CHI,73,31.2,7.5,14.2,0.53,1.8,4.4,0.402,1.6,2.0,0.805,2.4,7.6,10.1,3.5,0.8,0.7,1.6,18.5,26.9
1629012,45,Collin Sexton,1610612762,UTA,63,27.9,6.6,13.8,0.48,1.7,4.3,0.406,3.4,4.0,0.865,1.0,1.8,2.7,4.2,0.7,0.1,2.5,18.4,19.9
1629008,46,Michael Porter Jr.,1610612743,DEN,77,33.7,6.9,13.6,0.504,2.5,6.4,0.395,1.9,2.5,0.768,1.8,5.2,7.0,2.1,0.6,0.5,1.4,18.2,22.3
1628389,47,Bam Adebayo,1610612748,MIA,78,34.3,6.9,14.3,0.485,1.0,2.8,0.357,3.2,4.2,0.765,2.4,7.2,9.6,4.3,1.3,0.7,2.1,18.1,27.7
1628384,48,OG Anunoby,1610612752,NYK,74,36.6,6.6,13.9,0.476,2.3,6.2,0.372,2.5,3.1,0.81,1.3,3.5,4.8,2.2,1.5,0.9,1.4,18.0,21.2
203952,49,Andrew Wiggins,1610612748,MIA,120,30.7,6.3,14.0,0.448,2.2,5.8,0.374,3.3,4.3,0.763,1.5,3.0,4.5,2.6,1.0,0.8,1.7,18.0,20.8
1628969,50,Mikal Bridges,1610612752,NYK,82,37.0,7.2,14.4,0.5,2.0,5.6,0.354,1.2,1.4,0.814,0.9,2.3,3.2,3.7,0.9,0.5,1.6,17.6,18.3
1628370,51,Malik Monk,1610612758,SAC,65,31.6,6.3,14.4,0.439,2.1,6.6,0.325,2.4,2.7,0.865,0.5,3.3,3.8,5.6,0.9,0.6,2.4,17.2,19.8
1629631,52,De'Andre Hunter,1610612739,CLE,128,27.2,5.6,11.9,0.47,2.5,6.1,0.405,3.4,4.0,0.846,0.7,3.3,4.0,1.4,0.8,0.2,1.3,17.0,19.2
1630166,53,Deni Avdija,1610612757,POR,72,30.0,5.6,11.7,0.476,1.7,4.8,0.365,4.0,5.2,0.78,1.5,5.7,7.3,3.9,1.0,0.5,2.7,16.9,24.7
1641718,54,Keyonte George,1610612762,UTA,67,31.5,5.4,13.7,0.391,2.6,7.6,0.343,3.5,4.3,0.818,0.4,3.4,3.8,5.6,0.7,0.1,2.7,16.8,19.4
1627826,55,Ivica Zubac,1610612746,LAC,80,32.8,7.4,11.8,0.628,0.0,0.0,0.0,2.0,3.0,0.661,3.8,8.9,12.6,2.7,0.7,1.1,1.6,16.8,29.8
1628401,56,Derrick White,1610612738,BOS,76,33.9,5.6,12.6,0.442,3.5,9.1,0.384,1.8,2.1,0.839,0.9,3.6,4.5,4.8,0.9,1.1,1.7,16.4,20.7
1627736,57,Malik Beasley,1610612765,DET,82,27.8,5.6,13.1,0.43,3.9,9.3,0.416,1.2,1.7,0.679,0.6,2.0,2.6,1.7,0.9,0.1,1.0,16.3,14.2
1630170,58,Devin Vassell,1610612759,SAS,64,31.0,6.2,13.9,0.443,2.5,6.7,0.368,1.5,1.9,0.792,0.5,3.5,4.0,2.9,1.3,0.5,1.4,16.3,17.3
1631097,59,Bennedict Mathurin,1610612754,IND,72,29.8,5.4,11.8,0.458,1.4,4.0,0.34,3.8,4.6,0.831,1.2,4.1,5.3,1.9,0.7,0.3,1.9,16.1,19.8
1626167,60,Myles Turner,1610612754,IND,72,30.2,5.4,11.3,0.481,2.2,5.5,0.396,2.6,3.3,0.773,1.3,5.3,6.5,1.5,0.8,2.0,1.7,15.6,21.4
1631128,61,Christian Braun,1610612743,DEN,79,33.9,6.0,10.4,0.58,1.1,2.8,0.397,2.2,2.7,0.827,1.2,3.9,5.2,2.6,1.1,0.5,1.0,15.4,21.6
1626162,62,Kelly Oubre Jr.,1610612755,PHI,60,34.6,5.8,12.4,0.47,1.2,4.0,0.293,2.3,3.1,0.751,1.6,4.5,6.1,1.8,1.5,0.5,1.3,15.1,19.5
1628398,63,Kyle Kuzma,1610612749,MIL,130,29.8,5.7,13.0,0.436,1.5,4.8,0.307,2.0,3.1,0.634,0.8,4.9,5.7,2.3,0.6,0.3,2.2,14.8,16.1
1642264,64,Stephon Castle,1610612759,SAS,81,26.7,5.2,12.2,0.428,1.2,4.1,0.285,3.1,4.2,0.724,1.1,2.6,3.7,4.1,0.9,0.3,2.2,14.7,17.5
1630581,65,Josh Giddey,1610612741,CHI,70,30.2,5.3,11.4,0.465,1.5,4.0,0.378,2.5,3.2,0.781,1.8,6.3,8.1,7.2,1.2,0.6,2.9,14.6,25.2
1629656,66,Quentin Grimes,1610612755,PHI,150,26.8,5.1,11.0,0.467,2.2,5.6,0.385,2.2,2.9,0.757,0.8,3.5,4.3,3.0,1.0,0.3,1.9,14.6,17.6
1630202,67,Payton Pritchard,1610612738,BOS,80,28.4,5.1,10.8,0.472,3.2,7.8,0.407,0.9,1.1,0.845,1.3,2.6,3.8,3.5,0.9,0.2,1.0,14.3,16.8
1629675,68,Naz Reid,1610612750,MIN,80,27.5,5.3,11.5,0.462,2.2,5.8,0.379,1.4,1.8,0.776,1.2,4.9,6.0,2.3,0.7,0.9,1.4,14.2,17.9
1630700,69,Dyson Daniels,1610612737,ATL,76,33.8,6.0,12.1,0.493,1.1,3.1,0.34,1.1,1.8,0.593,1.6,4.3,5.9,4.4,3.0,0.7,2.0,14.1,21.0
1627832,70,Fred VanVleet,1610612745,HOU,60,35.2,4.8,12.7,0.378,2.7,7.7,0.345,1.9,2.3,0.81,0.5,3.2,3.7,5.6,1.6,0.4,1.5,14.1,17.8
1641708,71,Amen Thompson,1610612745,HOU,69,32.2,5.6,10.1,0.557,0.4,1.3,0.275,2.4,3.6,0.684,2.8,5.4,8.2,3.8,1.4,1.3,2.0,14.1,24.7
1628415,72,Dillon Brooks,1610612745,HOU,75,31.8,5.1,11.9,0.429,2.5,6.3,0.397,1.3,1.6,0.818,1.0,2.7,3.7,1.7,0.8,0.2,1.0,14.0,13.9
202691,73,Klay Thompson,1610612742,DAL,72,27.3,5.0,12.2,0.412,3.0,7.7,0.391,0.9,1.0,0.905,0.6,2.8,3.4,2.0,0.7,0.4,1.2,14.0,13.0
202699,74,Tobias Harris,1610612765,DET,73,31.6,5.3,11.0,0.477,1.2,3.6,0.345,2.0,2.3,0.861,0.9,5.0,5.9,2.2,1.0,0.8,1.2,13.7,18.7
