PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,SHOT_TYPE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1642266,"Walter, Ja'Kobe",1,52,46,Catch and Shoot,0.397,1.12,3.0,0.372,0.558,0.003,0.0,0.02,0.0,0.394,1.12,2.98,0.374
1642266,"Walter, Ja'Kobe",2,52,40,Pull Ups,0.209,0.6,1.58,0.378,0.421,0.13,0.46,0.98,0.471,0.079,0.13,0.6,0.226
1642266,"Walter, Ja'Kobe",3,52,47,Less than 10 ft,0.394,1.35,2.98,0.452,0.452,0.394,1.35,2.98,0.452,0.0,0.0,0.0,
