PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,TOUCH_TIME_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
203076,"Davis, Anthony",1,51,9,Touch < 2 Seconds,0.493,0.75,1.47,0.507,0.533,0.368,0.67,1.1,0.607,0.125,0.08,0.37,0.211
203076,"Davis, Anthony",2,51,9,Touch 2-6 Seconds,0.329,0.45,0.98,0.46,0.49,0.296,0.39,0.88,0.444,0.033,0.06,0.1,0.6
203076,"Davis, Anthony",3,51,9,Touch 6+ Seconds,0.178,0.18,0.53,0.333,0.333,0.138,0.18,0.41,0.429,0.039,0.0,0.12,0.0
