PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,SHOT_CLOCK_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1630202,"Pritchard, Payton",1,80,8,24-22,0.009,0.04,0.1,0.375,0.438,0.005,0.03,0.05,0.5,0.005,0.01,0.05,0.25
1630202,"Pritchard, Payton",2,80,61,22-18 Very Early,0.152,0.8,1.64,0.489,0.626,0.044,0.35,0.48,0.737,0.108,0.45,1.16,0.387
1630202,"Pritchard, Payton",3,80,63,18-15 Early,0.141,0.71,1.51,0.471,0.595,0.047,0.34,0.5,0.675,0.094,0.38,1.01,0.37
1630202,"Pritchard, Payton",4,80,78,15-7 Average,0.426,2.34,4.58,0.511,0.689,0.092,0.71,0.99,0.722,0.334,1.63,3.59,0.453
1630202,"Pritchard, Payton",5,80,58,7-4 Late,0.126,0.68,1.35,0.5,0.681,0.038,0.19,0.41,0.455,0.087,0.49,0.94,0.52
1630202,"Pritchard, Payton",6,80,60,4-0 Very Late,0.147,0.54,1.58,0.341,0.413,0.052,0.31,0.56,0.556,0.094,0.23,1.01,0.222
