PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,CLOSE_DEF_DIST_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1630590,"Pippen Jr., Scotty",1,79,38,0-2 Feet - Very Tight,0.096,0.27,0.72,0.368,0.368,0.096,0.27,0.72,0.368,0.0,0.0,0.0,
1630590,"Pippen Jr., Scotty",2,79,70,2-4 Feet - Tight,0.409,1.63,3.06,0.533,0.537,0.393,1.61,2.94,0.547,0.017,0.03,0.13,0.2
1630590,"Pippen Jr., Scotty",3,79,68,4-6 Feet - Open,0.249,0.81,1.86,0.435,0.527,0.115,0.47,0.86,0.544,0.134,0.34,1.0,0.342
1630590,"Pippen Jr., Scotty",4,79,60,6+ Feet - Wide Open,0.245,0.89,1.84,0.483,0.683,0.027,0.15,0.2,0.75,0.218,0.73,1.63,0.45
