PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,SHOT_CLOCK_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1630183,"McDaniels, Jaden",1,82,27,24-22,0.04,0.23,0.4,0.576,0.576,0.04,0.23,0.4,0.576,0.0,0.0,0.0,
1630183,"McDaniels, Jaden",2,82,56,22-18 Very Early,0.116,0.76,1.18,0.639,0.649,0.102,0.73,1.04,0.706,0.014,0.02,0.15,0.167
1630183,"McDaniels, Jaden",3,82,59,18-15 Early,0.125,0.59,1.27,0.462,0.519,0.082,0.44,0.83,0.529,0.043,0.15,0.44,0.333
1630183,"McDaniels, Jaden",4,82,82,15-7 Average,0.526,2.49,5.35,0.465,0.542,0.307,1.66,3.12,0.531,0.219,0.83,2.23,0.372
1630183,"McDaniels, Jaden",5,82,49,7-4 Late,0.106,0.48,1.07,0.443,0.5,0.06,0.35,0.61,0.58,0.046,0.12,0.46,0.263
1630183,"McDaniels, Jaden",6,82,43,4-0 Very Late,0.088,0.32,0.89,0.356,0.411,0.047,0.22,0.48,0.462,0.041,0.1,0.41,0.235
