GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
Location,Home,20,9,11,0.45,350.16,64,108,0.593,11,32,0.344,23,27,0.852,26,60,86,28,21,11,24,6,49,21,162,38,391.2,1,0,357.0,2,1,1,1,2,2,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,2,2,1,2,2,1,2,1
Location,Road,27,3,24,0.111,541.4416666666667,98,168,0.583,13,42,0.31,19,27,0.704,49,98,147,30,34,16,27,7,74,29,228,-138,544.4,3,0,504.0,1,2,2,2,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2
