PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,SHOT_TYPE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
203497,"Gobert, Rudy",1,72,14,Catch and Shoot,0.027,0.01,0.19,0.071,0.071,0.027,0.01,0.19,0.071,0.0,0.0,0.0,
203497,"Gobert, Rudy",2,72,2,Pull Ups,0.004,0.0,0.03,0.0,0.0,0.004,0.0,0.03,0.0,0.0,0.0,0.0,
203497,"Gobert, Rudy",3,72,72,Less than 10 ft,0.967,4.72,6.85,0.69,0.69,0.967,4.72,6.85,0.69,0.0,0.0,0.0,
203497,"Gobert, Rudy",4,72,1,Other,0.002,0.0,0.01,0.0,0.0,0.002,0.0,0.01,0.0,0.0,0.0,0.0,
