PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB
1631232,Keion Brooks Jr.,1610612740,NOP,24.0,12,322.0,6.0,3.6,2.5,2.1,0.0,0.2,0.6,0.1,0.3,0.4,0.25,0.75,0.0,0.4,0.4,0.4,0.3,0.0,1.0,1.0,0.75
1642276,Kel'el Ware,1610612748,MIA,21.0,62,1419.0,8.9,6.8,2.1,1.8,0.0,3.2,7.5,0.3,0.2,0.5,0.556,0.444,0.2,1.3,1.5,1.4,1.0,0.121,0.879,0.966,0.672
1629640,Keldon Johnson,1610612759,SAS,25.0,77,1838.0,4.9,2.9,2.0,1.8,0.0,0.4,1.0,0.4,0.4,0.8,0.45,0.55,0.2,0.5,0.7,0.7,0.5,0.278,0.722,1.0,0.639
203482,Kelly Olynyk,1610612740,NOP,34.0,44,891.0,7.9,4.9,2.9,3.9,0.2,1.9,4.6,0.4,0.2,0.5,0.692,0.308,0.4,1.3,1.7,1.7,0.7,0.262,0.738,0.976,0.405
1626162,Kelly Oubre Jr.,1610612755,PHI,29.0,60,2078.0,4.6,2.0,2.6,4.4,0.0,0.2,0.6,0.3,0.5,0.8,0.37,0.63,0.0,0.2,0.2,0.2,0.1,0.1,0.9,1.0,0.5
1629026,Kenrich Williams,1610612760,OKC,30.0,68,1113.0,4.7,2.4,2.3,3.6,0.4,1.1,2.6,0.2,0.5,0.7,0.318,0.682,0.3,1.0,1.3,1.3,0.6,0.22,0.78,1.0,0.439
203484,Kentavious Caldwell-Pope,1610612763,MEM,32.0,76,2258.0,2.8,1.6,1.2,2.5,0.0,0.7,1.5,0.3,0.4,0.7,0.386,0.614,0.0,0.2,0.2,0.2,0.1,0.067,0.933,0.933,0.467
1631165,Keon Ellis,1610612758,SAC,25.0,78,1941.0,4.9,2.1,2.8,5.2,0.0,0.8,1.7,0.4,0.4,0.8,0.488,0.512,0.0,0.3,0.4,0.4,0.1,0.105,0.895,1.0,0.316
1630553,Keon Johnson,1610612751,BKN,23.0,79,1925.0,4.8,2.7,2.1,2.7,0.1,0.4,0.9,0.4,0.5,0.9,0.449,0.551,0.0,0.3,0.3,0.3,0.1,0.059,0.941,0.882,0.353
1642352,Keshad Johnson,1610612748,MIA,24.0,11,85.0,8.9,6.4,2.5,2.1,0.0,1.7,3.4,0.4,0.8,1.3,0.333,0.667,0.4,2.1,2.5,2.5,1.3,0.167,0.833,1.0,0.5
