PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,CLOSE_DEF_DIST_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1626162,"Oubre Jr., Kelly",1,60,40,0-2 Feet - Very Tight,0.101,0.57,1.25,0.453,0.453,0.1,0.57,1.23,0.459,0.001,0.0,0.02,0.0
1626162,"Oubre Jr., Kelly",2,60,60,2-4 Feet - Tight,0.482,3.12,5.95,0.524,0.528,0.457,3.07,5.65,0.543,0.024,0.05,0.3,0.167
1626162,"Oubre Jr., Kelly",3,60,56,4-6 Feet - Open,0.232,1.2,2.87,0.419,0.497,0.092,0.75,1.13,0.662,0.14,0.45,1.73,0.26
1626162,"Oubre Jr., Kelly",4,60,55,6+ Feet - Wide Open,0.185,0.92,2.28,0.401,0.551,0.024,0.23,0.3,0.778,0.161,0.68,1.98,0.345
