PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,SHOT_CLOCK_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1629014,"Simons, Anfernee",1,70,5,24-22,0.004,0.07,0.07,1.0,1.2,0.003,0.04,0.04,1.0,0.002,0.03,0.03,1.0
1629014,"Simons, Anfernee",2,70,62,22-18 Very Early,0.142,1.07,2.29,0.469,0.559,0.063,0.66,1.01,0.648,0.079,0.41,1.27,0.326
1629014,"Simons, Anfernee",3,70,65,18-15 Early,0.166,1.19,2.67,0.444,0.564,0.071,0.54,1.14,0.475,0.095,0.64,1.53,0.421
1629014,"Simons, Anfernee",4,70,70,15-7 Average,0.468,3.29,7.53,0.436,0.545,0.211,1.66,3.39,0.489,0.258,1.63,4.14,0.393
1629014,"Simons, Anfernee",5,70,55,7-4 Late,0.102,0.69,1.64,0.417,0.487,0.061,0.46,0.99,0.464,0.041,0.23,0.66,0.348
1629014,"Simons, Anfernee",6,70,56,4-0 Very Late,0.116,0.54,1.87,0.29,0.324,0.064,0.41,1.03,0.403,0.052,0.13,0.84,0.153
