PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,SHOT_CLOCK_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1631095,"Smith Jr., Jabari",1,57,18,24-22,0.041,0.19,0.4,0.478,0.478,0.041,0.19,0.4,0.478,0.0,0.0,0.0,
1631095,"Smith Jr., Jabari",2,57,47,22-18 Very Early,0.17,0.75,1.68,0.448,0.536,0.08,0.46,0.79,0.578,0.09,0.3,0.89,0.333
1631095,"Smith Jr., Jabari",3,57,39,18-15 Early,0.129,0.72,1.28,0.562,0.705,0.051,0.35,0.51,0.69,0.078,0.37,0.77,0.477
1631095,"Smith Jr., Jabari",4,57,57,15-7 Average,0.495,2.02,4.91,0.411,0.496,0.253,1.18,2.51,0.469,0.242,0.84,2.4,0.35
1631095,"Smith Jr., Jabari",5,57,33,7-4 Late,0.101,0.4,1.0,0.404,0.474,0.051,0.26,0.51,0.517,0.049,0.14,0.49,0.286
1631095,"Smith Jr., Jabari",6,57,28,4-0 Very Late,0.065,0.26,0.65,0.405,0.459,0.035,0.19,0.35,0.55,0.03,0.07,0.3,0.235
