PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,TOUCH_TIME_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
203994,"Nurkić, Jusuf",1,51,26,Touch < 2 Seconds,0.603,1.14,2.24,0.509,0.561,0.386,0.9,1.43,0.63,0.217,0.24,0.8,0.293
203994,"Nurkić, Jusuf",2,51,23,Touch 2-6 Seconds,0.312,0.59,1.16,0.508,0.517,0.291,0.57,1.08,0.527,0.021,0.02,0.08,0.25
203994,"Nurkić, Jusuf",3,51,10,Touch 6+ Seconds,0.085,0.12,0.31,0.375,0.375,0.079,0.12,0.29,0.4,0.005,0.0,0.02,0.0
