PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,TOUCH_TIME_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1627741,"Hield, Buddy",1,82,82,Touch < 2 Seconds,0.718,2.87,6.88,0.417,0.579,0.112,0.63,1.07,0.591,0.606,2.23,5.8,0.384
1627741,"Hield, Buddy",2,82,75,Touch 2-6 Seconds,0.26,1.05,2.49,0.422,0.471,0.177,0.8,1.7,0.475,0.083,0.24,0.79,0.308
1627741,"Hield, Buddy",3,82,16,Touch 6+ Seconds,0.023,0.09,0.22,0.389,0.389,0.013,0.09,0.12,0.7,0.01,0.0,0.1,0.0
