PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,SHOT_CLOCK_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1641730,"Clowney, Noah",1,46,7,24-22,0.024,0.11,0.2,0.556,0.556,0.024,0.11,0.2,0.556,0.0,0.0,0.0,
1641730,"Clowney, Noah",2,46,29,22-18 Very Early,0.124,0.5,1.0,0.5,0.609,0.043,0.28,0.35,0.813,0.081,0.22,0.65,0.333
1641730,"Clowney, Noah",3,46,32,18-15 Early,0.159,0.43,1.28,0.339,0.5,0.019,0.02,0.15,0.143,0.14,0.41,1.13,0.365
1641730,"Clowney, Noah",4,46,45,15-7 Average,0.468,1.43,3.78,0.379,0.517,0.129,0.39,1.04,0.375,0.339,1.04,2.74,0.381
1641730,"Clowney, Noah",5,46,27,7-4 Late,0.097,0.15,0.78,0.194,0.264,0.024,0.04,0.2,0.222,0.073,0.11,0.59,0.185
1641730,"Clowney, Noah",6,46,29,4-0 Very Late,0.129,0.26,1.04,0.25,0.302,0.059,0.15,0.48,0.318,0.07,0.11,0.57,0.192
