PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,DRIBBLE_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1630541,"Moody, Moses",1,74,74,0 Dribbles,0.65,2.03,4.99,0.407,0.557,0.12,0.53,0.92,0.574,0.53,1.5,4.07,0.369
1630541,"Moody, Moses",2,74,41,1 Dribble,0.102,0.39,0.78,0.5,0.578,0.058,0.27,0.45,0.606,0.044,0.12,0.34,0.36
1630541,"Moody, Moses",3,74,38,2 Dribbles,0.09,0.32,0.69,0.471,0.49,0.083,0.3,0.64,0.468,0.007,0.03,0.05,0.5
1630541,"Moody, Moses",4,74,44,3-6 Dribbles,0.125,0.45,0.96,0.465,0.493,0.113,0.39,0.86,0.453,0.012,0.05,0.09,0.571
1630541,"Moody, Moses",5,74,17,7+ Dribbles,0.033,0.14,0.26,0.526,0.526,0.033,0.14,0.26,0.526,0.0,0.0,0.0,
