PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,SHOT_CLOCK_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1629048,"Bitadze, Goga",1,70,32,24-22,0.15,0.46,0.73,0.627,0.627,0.15,0.46,0.73,0.627,0.0,0.0,0.0,
1629048,"Bitadze, Goga",2,70,16,22-18 Very Early,0.053,0.19,0.26,0.722,0.722,0.05,0.19,0.24,0.765,0.003,0.0,0.01,0.0
1629048,"Bitadze, Goga",3,70,29,18-15 Early,0.118,0.33,0.57,0.575,0.6,0.097,0.3,0.47,0.636,0.021,0.03,0.1,0.286
1629048,"Bitadze, Goga",4,70,52,15-7 Average,0.484,1.44,2.34,0.616,0.616,0.445,1.44,2.16,0.669,0.038,0.0,0.19,0.0
1629048,"Bitadze, Goga",5,70,21,7-4 Late,0.083,0.23,0.4,0.571,0.589,0.077,0.21,0.37,0.577,0.006,0.01,0.03,0.5
1629048,"Bitadze, Goga",6,70,26,4-0 Very Late,0.112,0.31,0.54,0.579,0.579,0.097,0.31,0.47,0.667,0.015,0.0,0.07,0.0
