PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,SHOT_CLOCK_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1642272,"McCain, Jared",1,23,1,24-22,0.004,0.04,0.04,1.0,1.0,0.004,0.04,0.04,1.0,0.0,0.0,0.0,
1642272,"McCain, Jared",2,23,21,22-18 Very Early,0.204,0.96,2.43,0.393,0.5,0.077,0.43,0.91,0.476,0.128,0.52,1.52,0.343
1642272,"McCain, Jared",3,23,15,18-15 Early,0.139,0.83,1.65,0.5,0.645,0.058,0.35,0.7,0.5,0.08,0.48,0.96,0.5
1642272,"McCain, Jared",4,23,22,15-7 Average,0.464,2.74,5.52,0.496,0.567,0.288,1.96,3.43,0.57,0.175,0.78,2.09,0.375
1642272,"McCain, Jared",5,23,14,7-4 Late,0.102,0.52,1.22,0.429,0.536,0.04,0.26,0.48,0.545,0.062,0.26,0.74,0.353
1642272,"McCain, Jared",6,23,14,4-0 Very Late,0.088,0.39,1.04,0.375,0.458,0.047,0.22,0.57,0.385,0.04,0.17,0.48,0.364
