PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,DRIBBLE_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1642259,"Sarr, Alex",1,67,67,0 Dribbles,0.571,2.55,7.06,0.362,0.469,0.175,1.03,2.16,0.476,0.396,1.52,4.9,0.311
1642259,"Sarr, Alex",2,67,60,1 Dribble,0.211,1.24,2.61,0.474,0.48,0.198,1.21,2.45,0.494,0.013,0.03,0.16,0.182
1642259,"Sarr, Alex",3,67,48,2 Dribbles,0.101,0.54,1.25,0.429,0.435,0.099,0.52,1.22,0.427,0.002,0.01,0.03,0.5
1642259,"Sarr, Alex",4,67,51,3-6 Dribbles,0.112,0.52,1.39,0.376,0.376,0.112,0.52,1.39,0.376,0.0,0.0,0.0,
1642259,"Sarr, Alex",5,67,3,7+ Dribbles,0.004,0.01,0.04,0.333,0.333,0.004,0.01,0.04,0.333,0.0,0.0,0.0,
