PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,CLOSE_DEF_DIST_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1629023,"Washington, P.J.",1,57,28,0-2 Feet - Very Tight,0.066,0.32,0.77,0.409,0.409,0.065,0.32,0.75,0.419,0.002,0.0,0.02,0.0
1629023,"Washington, P.J.",2,57,56,2-4 Feet - Tight,0.468,2.72,5.46,0.498,0.514,0.442,2.54,5.16,0.493,0.026,0.18,0.3,0.588
1629023,"Washington, P.J.",3,57,57,4-6 Feet - Open,0.235,1.14,2.74,0.417,0.503,0.111,0.67,1.3,0.514,0.123,0.47,1.44,0.329
1629023,"Washington, P.J.",4,57,52,6+ Feet - Wide Open,0.232,1.11,2.7,0.409,0.584,0.023,0.16,0.26,0.6,0.209,0.95,2.44,0.388
