PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,CLOSE_DEF_DIST_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1628370,"Monk, Malik",1,65,41,0-2 Feet - Very Tight,0.064,0.43,0.92,0.467,0.467,0.062,0.43,0.89,0.483,0.002,0.0,0.03,0.0
1628370,"Monk, Malik",2,65,65,2-4 Feet - Tight,0.345,2.52,4.98,0.506,0.517,0.315,2.42,4.55,0.53,0.03,0.11,0.43,0.25
1628370,"Monk, Malik",3,65,64,4-6 Feet - Open,0.328,1.91,4.74,0.403,0.494,0.141,1.05,2.03,0.515,0.187,0.86,2.71,0.318
1628370,"Monk, Malik",4,65,64,6+ Feet - Wide Open,0.263,1.48,3.8,0.389,0.543,0.027,0.31,0.38,0.8,0.236,1.17,3.42,0.342
