PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,TOUCH_TIME_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1628381,"Collins, John",1,40,40,Touch < 2 Seconds,0.627,4.28,8.33,0.514,0.601,0.356,2.83,4.73,0.598,0.271,1.45,3.6,0.403
1628381,"Collins, John",2,40,40,Touch 2-6 Seconds,0.36,2.63,4.78,0.55,0.552,0.352,2.6,4.68,0.556,0.008,0.03,0.1,0.25
1628381,"Collins, John",3,40,6,Touch 6+ Seconds,0.013,0.1,0.18,0.571,0.571,0.013,0.1,0.18,0.571,0.0,0.0,0.0,
