PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,CLOSE_DEF_DIST_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1631097,"Mathurin, Bennedict",1,72,39,0-2 Feet - Very Tight,0.072,0.33,0.85,0.393,0.393,0.07,0.33,0.83,0.4,0.001,0.0,0.01,0.0
1631097,"Mathurin, Bennedict",2,72,70,2-4 Feet - Tight,0.438,2.4,5.19,0.463,0.471,0.407,2.32,4.82,0.481,0.032,0.08,0.38,0.222
1631097,"Mathurin, Bennedict",3,72,72,4-6 Feet - Open,0.309,1.67,3.67,0.455,0.542,0.141,1.03,1.67,0.617,0.169,0.64,2.0,0.319
1631097,"Mathurin, Bennedict",4,72,65,6+ Feet - Wide Open,0.181,1.03,2.14,0.481,0.63,0.045,0.39,0.53,0.737,0.136,0.64,1.61,0.397
