PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,SHOT_CLOCK_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1626167,"Turner, Myles",1,72,11,24-22,0.02,0.17,0.22,0.75,0.781,0.018,0.15,0.21,0.733,0.001,0.01,0.01,1.0
1626167,"Turner, Myles",2,72,49,22-18 Very Early,0.102,0.53,1.15,0.458,0.584,0.031,0.24,0.35,0.68,0.072,0.29,0.81,0.362
1626167,"Turner, Myles",3,72,64,18-15 Early,0.219,1.24,2.47,0.5,0.643,0.079,0.53,0.89,0.594,0.141,0.71,1.58,0.447
1626167,"Turner, Myles",4,72,72,15-7 Average,0.506,2.74,5.69,0.48,0.561,0.292,1.82,3.29,0.553,0.213,0.92,2.4,0.382
1626167,"Turner, Myles",5,72,43,7-4 Late,0.081,0.4,0.92,0.439,0.515,0.052,0.26,0.58,0.452,0.03,0.14,0.33,0.417
1626167,"Turner, Myles",6,72,33,4-0 Very Late,0.072,0.35,0.81,0.431,0.491,0.042,0.25,0.47,0.529,0.03,0.1,0.33,0.292
