PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,SHOT_TYPE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
203114,"Middleton, Khris",1,37,12,Catch and Shoot,0.183,0.16,0.62,0.261,0.391,0.016,0.0,0.05,0.0,0.167,0.16,0.57,0.286
203114,"Middleton, Khris",2,37,14,Pull Ups,0.579,0.78,1.97,0.397,0.438,0.381,0.62,1.3,0.479,0.198,0.16,0.68,0.24
203114,"Middleton, Khris",3,37,10,Less than 10 ft,0.23,0.43,0.78,0.552,0.552,0.23,0.43,0.78,0.552,0.0,0.0,0.0,
203114,"Middleton, Khris",4,37,1,Other,0.008,0.03,0.03,1.0,1.5,0.0,0.0,0.0,,0.008,0.03,0.03,1.0
