PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,CLOSE_DEF_DIST_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
203501,"Hardaway Jr., Tim",1,77,6,0-2 Feet - Very Tight,0.01,0.04,0.09,0.429,0.429,0.007,0.04,0.06,0.6,0.003,0.0,0.03,0.0
203501,"Hardaway Jr., Tim",2,77,68,2-4 Feet - Tight,0.221,0.52,1.95,0.267,0.357,0.072,0.17,0.64,0.265,0.149,0.35,1.31,0.267
203501,"Hardaway Jr., Tim",3,77,74,4-6 Feet - Open,0.372,1.17,3.29,0.356,0.494,0.069,0.26,0.61,0.426,0.303,0.91,2.68,0.34
203501,"Hardaway Jr., Tim",4,77,66,6+ Feet - Wide Open,0.232,0.96,2.05,0.468,0.693,0.015,0.04,0.13,0.3,0.218,0.92,1.92,0.48
