PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,SHOT_CLOCK_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
202710,"Butler III, Jimmy",1,55,12,24-22,0.051,0.18,0.31,0.588,0.588,0.051,0.18,0.31,0.588,0.0,0.0,0.0,
202710,"Butler III, Jimmy",2,55,27,22-18 Very Early,0.156,0.58,0.95,0.615,0.615,0.138,0.58,0.84,0.696,0.018,0.0,0.11,0.0
202710,"Butler III, Jimmy",3,55,24,18-15 Early,0.126,0.33,0.76,0.429,0.44,0.111,0.31,0.67,0.459,0.015,0.02,0.09,0.2
202710,"Butler III, Jimmy",4,55,30,15-7 Average,0.422,1.22,2.56,0.475,0.514,0.323,1.02,1.96,0.519,0.099,0.2,0.6,0.333
202710,"Butler III, Jimmy",5,55,22,7-4 Late,0.111,0.33,0.67,0.486,0.541,0.081,0.25,0.49,0.519,0.03,0.07,0.18,0.4
202710,"Butler III, Jimmy",6,55,21,4-0 Very Late,0.135,0.25,0.82,0.311,0.344,0.093,0.2,0.56,0.355,0.042,0.05,0.25,0.214
