GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
Location,Home,30,15,15,0.5,1090.41,279,574,0.486,63,173,0.364,152,180,0.844,23,109,132,196,81,44,13,30,86,138,773,36,1315.4,4,0,1278.0,2,1,1,1,2,1,2,1,1,2,1,1,1,1,2,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,2
Location,Road,32,12,20,0.375,1150.7266666666667,260,589,0.441,55,208,0.264,111,138,0.804,31,135,166,196,93,47,12,26,78,123,686,-105,1263.2,5,0,1221.0,1,2,2,2,1,2,1,2,2,1,2,2,2,2,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1,2,2
