GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022400047,248,1628366,Lonzo Ball,1610612741,Chicago Bulls,2,5,36,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,3,1,1,20241129,CHI,BOS
Shot Chart Detail,0022400069,92,1628366,Lonzo Ball,1610612741,Chicago Bulls,1,4,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,175,183,1,1,20241023,NOP,CHI
Shot Chart Detail,0022400069,402,1628366,Lonzo Ball,1610612741,Chicago Bulls,3,6,15,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,-6,1,1,20241023,NOP,CHI
Shot Chart Detail,0022400091,670,1628366,Lonzo Ball,1610612741,Chicago Bulls,4,6,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,121,225,1,1,20241026,CHI,OKC
Shot Chart Detail,0022400108,117,1628366,Lonzo Ball,1610612741,Chicago Bulls,1,3,37,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,180,197,1,1,20241028,MEM,CHI
Shot Chart Detail,0022400108,488,1628366,Lonzo Ball,1610612741,Chicago Bulls,3,4,21,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-112,236,1,1,20241028,MEM,CHI
Shot Chart Detail,0022400289,235,1628366,Lonzo Ball,1610612741,Chicago Bulls,2,7,2,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,109,252,1,1,20241127,ORL,CHI
Shot Chart Detail,0022400289,454,1628366,Lonzo Ball,1610612741,Chicago Bulls,3,4,30,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,11,267,1,1,20241127,ORL,CHI
Shot Chart Detail,0022400317,130,1628366,Lonzo Ball,1610612741,Chicago Bulls,1,2,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-173,168,1,1,20241202,CHI,BKN
Shot Chart Detail,0022400317,268,1628366,Lonzo Ball,1610612741,Chicago Bulls,2,4,36,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,9,1,1,20241202,CHI,BKN
Shot Chart Detail,0022400336,123,1628366,Lonzo Ball,1610612741,Chicago Bulls,1,2,9,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,32,1,1,20241206,CHI,IND
Shot Chart Detail,0022400336,378,1628366,Lonzo Ball,1610612741,Chicago Bulls,3,7,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,115,245,1,1,20241206,CHI,IND
Shot Chart Detail,0022400336,447,1628366,Lonzo Ball,1610612741,Chicago Bulls,3,3,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-80,243,1,1,20241206,CHI,IND
