PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,SHOT_TYPE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1627749,"Murray, Dejounte",1,31,29,Catch and Shoot,0.191,0.9,3.03,0.298,0.447,0.01,0.0,0.16,0.0,0.181,0.9,2.87,0.315
1627749,"Murray, Dejounte",2,31,31,Pull Ups,0.493,2.97,7.84,0.379,0.428,0.325,2.19,5.16,0.425,0.168,0.77,2.68,0.289
1627749,"Murray, Dejounte",3,31,31,Less than 10 ft,0.312,2.39,4.97,0.481,0.481,0.312,2.39,4.97,0.481,0.0,0.0,0.0,
1627749,"Murray, Dejounte",4,31,2,Other,0.004,0.0,0.06,0.0,0.0,0.0,0.0,0.0,,0.004,0.0,0.06,0.0
