GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022400020,36,1627734,Domantas Sabonis,1610612758,Sacramento Kings,1,8,28,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-7,43,1,1,20241115,SAC,MIN
Shot Chart Detail,0022400020,81,1627734,Domantas Sabonis,1610612758,Sacramento Kings,1,5,8,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-71,48,1,1,20241115,SAC,MIN
Shot Chart Detail,0022400020,229,1627734,Domantas Sabonis,1610612758,Sacramento Kings,2,4,49,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-29,38,1,1,20241115,SAC,MIN
Shot Chart Detail,0022400020,232,1627734,Domantas Sabonis,1610612758,Sacramento Kings,2,4,8,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,15,1,1,20241115,SAC,MIN
Shot Chart Detail,0022400020,345,1627734,Domantas Sabonis,1610612758,Sacramento Kings,3,7,24,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,11,1,1,20241115,SAC,MIN
Shot Chart Detail,0022400020,360,1627734,Domantas Sabonis,1610612758,Sacramento Kings,3,6,7,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-119,83,1,1,20241115,SAC,MIN
Shot Chart Detail,0022400020,471,1627734,Domantas Sabonis,1610612758,Sacramento Kings,4,11,19,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,5,121,1,1,20241115,SAC,MIN
Shot Chart Detail,0022400020,484,1627734,Domantas Sabonis,1610612758,Sacramento Kings,4,10,2,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,14,80,126,1,1,20241115,SAC,MIN
Shot Chart Detail,0022400020,595,1627734,Domantas Sabonis,1610612758,Sacramento Kings,4,2,7,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-43,21,1,1,20241115,SAC,MIN
Shot Chart Detail,0022400020,653,1627734,Domantas Sabonis,1610612758,Sacramento Kings,5,2,0,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,14,1,1,20241115,SAC,MIN
Shot Chart Detail,0022400034,15,1627734,Domantas Sabonis,1610612758,Sacramento Kings,1,11,5,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-4,24,1,1,20241122,LAC,SAC
Shot Chart Detail,0022400034,19,1627734,Domantas Sabonis,1610612758,Sacramento Kings,1,10,35,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,28,178,1,1,20241122,LAC,SAC
Shot Chart Detail,0022400034,357,1627734,Domantas Sabonis,1610612758,Sacramento Kings,3,11,26,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,62,89,1,1,20241122,LAC,SAC
Shot Chart Detail,0022400034,391,1627734,Domantas Sabonis,1610612758,Sacramento Kings,3,8,55,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20241122,LAC,SAC
Shot Chart Detail,0022400034,410,1627734,Domantas Sabonis,1610612758,Sacramento Kings,3,6,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,60,267,1,1,20241122,LAC,SAC
Shot Chart Detail,0022400034,456,1627734,Domantas Sabonis,1610612758,Sacramento Kings,3,3,31,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20241122,LAC,SAC
Shot Chart Detail,0022400034,565,1627734,Domantas Sabonis,1610612758,Sacramento Kings,4,8,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-131,222,1,1,20241122,LAC,SAC
