PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,SHOT_CLOCK_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1641739,"Camara, Toumani",1,78,34,24-22,0.068,0.33,0.63,0.531,0.531,0.068,0.33,0.63,0.531,0.0,0.0,0.0,
1641739,"Camara, Toumani",2,78,58,22-18 Very Early,0.159,0.77,1.46,0.526,0.596,0.091,0.56,0.83,0.677,0.068,0.21,0.63,0.327
1641739,"Camara, Toumani",3,78,58,18-15 Early,0.135,0.59,1.24,0.474,0.613,0.043,0.24,0.4,0.613,0.092,0.35,0.85,0.409
1641739,"Camara, Toumani",4,78,78,15-7 Average,0.469,1.9,4.31,0.44,0.552,0.207,0.94,1.9,0.493,0.263,0.96,2.41,0.399
1641739,"Camara, Toumani",5,78,43,7-4 Late,0.089,0.38,0.82,0.469,0.547,0.05,0.26,0.46,0.556,0.039,0.13,0.36,0.357
1641739,"Camara, Toumani",6,78,35,4-0 Very Late,0.078,0.23,0.72,0.321,0.384,0.038,0.14,0.35,0.407,0.041,0.09,0.37,0.241
