GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Location,Home,21,7,14,0.333,558.405,86,183,0.47,33,91,0.363,16,23,0.696,28,59,87,39,21,22,7,10,49,17,221,-137,449.9,1,0,438.0,2,1,1,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1
Location,Road,23,4,19,0.174,596.315,86,195,0.441,36,99,0.364,16,23,0.696,18,43,61,30,28,23,9,15,49,21,224,-143,410.2,0,0,415.0,1,2,2,2,1,1,1,2,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,1,1,2,2,2,1,2
