GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
Location,Home,40,12,28,0.3,1017.455,148,316,0.468,31,107,0.29,55,81,0.679,19,107,126,239,111,45,5,29,79,79,382,-248,930.7,5,0,878.0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,2,1,2,1,1,2,1,2,1,2,1,1,1
Location,Road,38,6,32,0.158,995.5083333333333,117,308,0.38,15,82,0.183,65,95,0.684,17,116,133,235,118,36,12,37,90,87,314,-185,852.1,6,0,793.0,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,1,2,1,2,2,1,2,1,2,1,1,2,1
