PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,DRIBBLE_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1629029,"Dončić, Luka",1,50,28,0 Dribbles,0.186,0.94,2.08,0.452,0.606,0.036,0.3,0.4,0.75,0.15,0.64,1.68,0.381
1629029,"Dončić, Luka",2,50,22,1 Dribble,0.088,0.4,0.98,0.408,0.531,0.029,0.16,0.32,0.5,0.059,0.24,0.66,0.364
1629029,"Dončić, Luka",3,50,23,2 Dribbles,0.1,0.5,1.12,0.446,0.509,0.068,0.36,0.76,0.474,0.032,0.14,0.36,0.389
1629029,"Dončić, Luka",4,50,28,3-6 Dribbles,0.292,1.38,3.26,0.423,0.482,0.184,1.0,2.06,0.485,0.107,0.38,1.2,0.317
1629029,"Dončić, Luka",5,50,28,7+ Dribbles,0.335,1.68,3.74,0.449,0.535,0.202,1.04,2.26,0.46,0.132,0.64,1.48,0.432
