GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022400003,7,1630532,Franz Wagner,1610612753,Orlando Magic,1,11,43,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,61,147,1,1,20241112,ORL,CHA
Shot Chart Detail,0022400003,66,1630532,Franz Wagner,1610612753,Orlando Magic,1,5,35,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,4,1,1,20241112,ORL,CHA
Shot Chart Detail,0022400003,109,1630532,Franz Wagner,1610612753,Orlando Magic,1,3,30,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-26,8,1,1,20241112,ORL,CHA
Shot Chart Detail,0022400003,157,1630532,Franz Wagner,1610612753,Orlando Magic,1,0,3,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-121,117,1,1,20241112,ORL,CHA
Shot Chart Detail,0022400003,237,1630532,Franz Wagner,1610612753,Orlando Magic,2,6,41,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,29,-168,248,1,1,20241112,ORL,CHA
Shot Chart Detail,0022400003,250,1630532,Franz Wagner,1610612753,Orlando Magic,2,5,45,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,9,29,1,1,20241112,ORL,CHA
Shot Chart Detail,0022400003,261,1630532,Franz Wagner,1610612753,Orlando Magic,2,4,54,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-94,98,1,1,20241112,ORL,CHA
Shot Chart Detail,0022400003,265,1630532,Franz Wagner,1610612753,Orlando Magic,2,4,39,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,1,1,1,20241112,ORL,CHA
Shot Chart Detail,0022400003,267,1630532,Franz Wagner,1610612753,Orlando Magic,2,4,13,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,8,1,1,20241112,ORL,CHA
Shot Chart Detail,0022400003,282,1630532,Franz Wagner,1610612753,Orlando Magic,2,3,42,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,94,101,1,1,20241112,ORL,CHA
Shot Chart Detail,0022400003,345,1630532,Franz Wagner,1610612753,Orlando Magic,3,10,32,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,148,36,1,1,20241112,ORL,CHA
Shot Chart Detail,0022400003,354,1630532,Franz Wagner,1610612753,Orlando Magic,3,9,21,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,195,168,1,1,20241112,ORL,CHA
