PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,SHOT_TYPE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1641717,"Wallace, Cason",1,68,64,Catch and Shoot,0.374,1.0,2.69,0.372,0.555,0.004,0.01,0.03,0.5,0.37,0.99,2.66,0.37
1641717,"Wallace, Cason",2,68,40,Pull Ups,0.131,0.29,0.94,0.313,0.367,0.078,0.19,0.56,0.342,0.053,0.1,0.38,0.269
1641717,"Wallace, Cason",3,68,67,Less than 10 ft,0.493,2.12,3.54,0.598,0.598,0.493,2.12,3.54,0.598,0.0,0.0,0.0,
1641717,"Wallace, Cason",4,68,1,Other,0.002,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,0.002,0.0,0.01,0.0
