GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
Location,Home,31,12,19,0.387,627.63,133,281,0.473,38,96,0.396,28,35,0.8,7,48,55,70,16,23,6,18,28,42,342,-52,584.0,0,0,563.0,1,1,2,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,2
Location,Road,21,3,18,0.143,350.3383333333333,73,136,0.537,18,42,0.429,28,39,0.718,7,30,37,54,13,14,10,7,19,30,192,-35,376.4,0,0,349.0,2,2,1,2,2,2,2,1,2,2,1,1,1,2,1,2,2,2,2,2,1,1,1,2,2,1,2,1,1,2,1
