GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
Location,Home,11,5,6,0.455,359.81333333333333,85,161,0.528,28,61,0.459,14,19,0.737,6,42,48,84,32,17,4,6,30,26,218,51,432.6,2,0,420.0,2,2,1,2,2,1,2,1,1,2,1,2,2,2,2,2,2,1,2,2,2,1,1,2,1,1,2,1,2,2,2
Location,Road,13,7,6,0.538,402.35,81,189,0.429,25,68,0.368,17,21,0.81,8,61,69,83,33,27,12,9,31,29,210,17,501.3,1,1,465.0,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,2,2,1,2,2,1,2,1,1,2
