PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,DRIBBLE_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1630193,"Quickley, Immanuel",1,33,33,0 Dribbles,0.311,1.67,4.12,0.404,0.559,0.05,0.39,0.67,0.591,0.26,1.27,3.45,0.368
1630193,"Quickley, Immanuel",2,33,27,1 Dribble,0.107,0.55,1.42,0.383,0.532,0.025,0.12,0.33,0.364,0.082,0.42,1.09,0.389
1630193,"Quickley, Immanuel",3,33,26,2 Dribbles,0.13,0.82,1.73,0.474,0.561,0.075,0.52,1.0,0.515,0.055,0.3,0.73,0.417
1630193,"Quickley, Immanuel",4,33,31,3-6 Dribbles,0.265,1.45,3.52,0.414,0.453,0.199,1.18,2.64,0.448,0.066,0.27,0.88,0.31
1630193,"Quickley, Immanuel",5,33,29,7+ Dribbles,0.187,1.09,2.48,0.439,0.5,0.137,0.79,1.82,0.433,0.05,0.3,0.67,0.455
