PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,SHOT_CLOCK_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1627734,"Sabonis, Domantas",1,70,38,24-22,0.08,0.54,1.01,0.535,0.535,0.08,0.54,1.01,0.535,0.0,0.0,0.0,
1627734,"Sabonis, Domantas",2,70,46,22-18 Very Early,0.084,0.66,1.07,0.613,0.627,0.078,0.63,1.0,0.629,0.006,0.03,0.07,0.4
1627734,"Sabonis, Domantas",3,70,56,18-15 Early,0.157,1.16,2.0,0.579,0.614,0.121,1.01,1.54,0.657,0.036,0.14,0.46,0.313
1627734,"Sabonis, Domantas",4,70,69,15-7 Average,0.523,4.17,6.67,0.625,0.669,0.426,3.59,5.43,0.661,0.097,0.59,1.24,0.471
1627734,"Sabonis, Domantas",5,70,48,7-4 Late,0.088,0.59,1.13,0.519,0.557,0.069,0.5,0.89,0.565,0.019,0.09,0.24,0.353
1627734,"Sabonis, Domantas",6,70,41,4-0 Very Late,0.068,0.41,0.87,0.475,0.525,0.052,0.33,0.66,0.5,0.017,0.09,0.21,0.4
