PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,DRIBBLE_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1627777,"Niang, Georges",1,79,28,0 Dribbles,0.739,1.06,2.54,0.418,0.6,0.085,0.14,0.29,0.478,0.654,0.92,2.25,0.41
1627777,"Niang, Georges",2,79,15,1 Dribble,0.088,0.15,0.3,0.5,0.563,0.066,0.11,0.23,0.5,0.022,0.04,0.08,0.5
1627777,"Niang, Georges",3,79,19,2 Dribbles,0.103,0.2,0.35,0.571,0.571,0.103,0.2,0.35,0.571,0.0,0.0,0.0,
1627777,"Niang, Georges",4,79,13,3-6 Dribbles,0.07,0.1,0.24,0.421,0.421,0.07,0.1,0.24,0.421,0.0,0.0,0.0,
