GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022400016,75,1628415,Dillon Brooks,1610612745,Houston Rockets,1,5,8,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,184,187,1,1,20241115,HOU,LAC
Shot Chart Detail,0022400016,118,1628415,Dillon Brooks,1610612745,Houston Rockets,1,2,58,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-194,-1,1,1,20241115,HOU,LAC
Shot Chart Detail,0022400016,236,1628415,Dillon Brooks,1610612745,Houston Rockets,2,6,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-93,229,1,1,20241115,HOU,LAC
Shot Chart Detail,0022400016,384,1628415,Dillon Brooks,1610612745,Houston Rockets,3,7,17,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,-3,1,1,20241115,HOU,LAC
Shot Chart Detail,0022400016,564,1628415,Dillon Brooks,1610612745,Houston Rockets,4,5,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-191,179,1,1,20241115,HOU,LAC
Shot Chart Detail,0022400016,572,1628415,Dillon Brooks,1610612745,Houston Rockets,4,5,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,134,216,1,1,20241115,HOU,LAC
Shot Chart Detail,0022400031,48,1628415,Dillon Brooks,1610612745,Houston Rockets,1,7,52,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-234,91,1,1,20241122,HOU,POR
Shot Chart Detail,0022400031,100,1628415,Dillon Brooks,1610612745,Houston Rockets,1,4,36,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,29,17,1,1,20241122,HOU,POR
Shot Chart Detail,0022400031,334,1628415,Dillon Brooks,1610612745,Houston Rockets,2,1,16,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-1,38,1,1,20241122,HOU,POR
Shot Chart Detail,0022400031,338,1628415,Dillon Brooks,1610612745,Houston Rockets,2,0,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,78,264,1,1,20241122,HOU,POR
Shot Chart Detail,0022400031,389,1628415,Dillon Brooks,1610612745,Houston Rockets,3,9,48,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-129,216,1,1,20241122,HOU,POR
Shot Chart Detail,0022400031,402,1628415,Dillon Brooks,1610612745,Houston Rockets,3,8,45,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,5,250,1,1,20241122,HOU,POR
Shot Chart Detail,0022400031,408,1628415,Dillon Brooks,1610612745,Houston Rockets,3,8,9,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-127,0,1,1,20241122,HOU,POR
Shot Chart Detail,0022400031,444,1628415,Dillon Brooks,1610612745,Houston Rockets,3,5,37,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20241122,HOU,POR
