GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Location,Home,35,17,18,0.486,1240.985,328,720,0.456,71,205,0.346,171,209,0.818,21,203,224,328,140,33,31,61,93,147,898,69,1710.8,14,5,1649.0,1,2,2,2,1,2,2,2,2,2,2,1,1,2,2,1,1,1,2,2,1,2,1,1,2,2,1,2,1,1
Location,Road,35,21,14,0.6,1210.9616666666666,356,737,0.483,78,213,0.366,142,161,0.882,35,166,201,310,169,38,22,39,102,132,932,106,1649.2,17,4,1641.0,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,2,1,1,2,1,2,2
