PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,SHOT_CLOCK_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1641774,"Vukcevic, Tristan",1,35,8,24-22,0.033,0.17,0.23,0.75,0.75,0.033,0.17,0.23,0.75,0.0,0.0,0.0,
1641774,"Vukcevic, Tristan",2,35,14,22-18 Very Early,0.091,0.34,0.63,0.545,0.614,0.058,0.26,0.4,0.643,0.033,0.09,0.23,0.375
1641774,"Vukcevic, Tristan",3,35,23,18-15 Early,0.178,0.49,1.23,0.395,0.477,0.07,0.29,0.49,0.588,0.107,0.2,0.74,0.269
1641774,"Vukcevic, Tristan",4,35,29,15-7 Average,0.55,2.0,3.8,0.526,0.617,0.326,1.31,2.26,0.582,0.223,0.69,1.54,0.444
1641774,"Vukcevic, Tristan",5,35,12,7-4 Late,0.099,0.31,0.69,0.458,0.521,0.062,0.23,0.43,0.533,0.037,0.09,0.26,0.333
1641774,"Vukcevic, Tristan",6,35,10,4-0 Very Late,0.05,0.11,0.34,0.333,0.375,0.029,0.09,0.2,0.429,0.021,0.03,0.14,0.2
