PLAYER_ID,PLAYER_NAME,TEAM_ID,POSITION,GP,MIN,ast_tov_ratio_percentile,late_clock_efficiency_percentile,clutch_ast_tov_percentile,efg_pct_percentile,deflections_per_36_percentile,screen_assists_per_36_percentile,shooting_foul_pct_percentile,personal_foul_rate_percentile,age_percentile,ast_pct_percentile,composite_weighted_iq,rank_weighted_iq
1641726,Dereck Lively II,1610612742,C,36,23.1,72.0,97.9,61.6,93.9,40.7,53.1,12.2,5.7,1.0,46.3,107.0,102
1627936,Alex Caruso,1610612760,SG,54,19.3,96.7,2.4,9.1,51.7,96.3,90.8,19.0,16.3,79.7,56.3,106.0,103
1628960,Grayson Allen,1610612756,SG,64,24.1,44.7,81.0,62.0,88.5,28.0,50.6,39.3,69.3,74.3,38.7,105.0,104
1627736,Malik Beasley,1610612765,SG,82,27.8,41.7,45.2,51.5,81.6,48.0,48.3,76.2,80.0,67.7,21.3,105.0,105
1629652,Luguentz Dort,1610612760,SF,71,29.2,75.7,67.9,62.0,72.2,77.3,87.0,26.4,13.7,40.7,7.3,105.0,106
1626158,Richaun Holmes,1610612764,PF,31,17.2,61.0,94.0,58.9,96.2,9.0,96.2,3.8,22.0,84.7,37.3,105.0,107
201566,Russell Westbrook,1610612743,PG,75,27.9,58.0,15.8,21.5,50.0,84.0,55.2,33.3,25.0,97.3,91.0,105.0,108
1630162,Anthony Edwards,1610612750,SG,79,36.3,21.7,36.9,17.2,54.0,73.3,18.4,90.5,85.7,19.3,71.0,105.0,109
1629638,Nickeil Alexander-Walker,1610612750,SG,82,25.3,74.3,32.1,75.8,58.6,70.7,46.0,26.2,61.7,50.3,50.7,105.0,110
203957,Danté Exum,1610612742,PG,20,18.6,81.7,64.9,0.0,84.5,3.0,81.0,8.8,22.0,74.3,73.7,105.0,111
1629130,Duncan Robinson,1610612748,SF,74,24.1,61.0,20.8,46.5,83.3,29.0,81.5,39.6,43.7,79.7,48.7,104.0,112
1629651,Nic Claxton,1610612751,C,70,26.9,49.3,58.3,21.5,44.9,49.7,61.2,85.7,34.0,40.7,43.0,104.0,113
1628989,Kevin Huerter,1610612741,SG,69,24.3,76.7,95.2,77.1,32.2,68.3,81.6,1.2,50.7,50.3,39.0,104.0,114
1629008,Michael Porter Jr.,1610612743,SF,77,33.7,25.7,62.3,62.0,94.4,26.0,77.8,58.5,69.3,50.3,19.7,104.0,115
202691,Klay Thompson,1610612742,SF,72,27.3,38.3,56.6,62.0,38.9,19.3,63.0,92.5,96.0,94.3,31.7,104.0,116
1629614,Andrew Nembhard,1610612754,SG,65,28.9,91.3,63.1,42.1,16.1,65.3,39.1,29.8,34.0,40.7,76.0,104.0,117
1629673,Jordan Poole,1610612764,SG,68,29.4,25.7,45.2,21.5,52.9,54.0,83.9,53.6,13.7,40.7,82.7,103.0,118
1626220,Royce O'Neale,1610612756,SF,75,24.5,79.7,18.9,77.8,85.2,37.3,66.7,20.8,31.7,84.7,38.3,103.0,119
1630170,Devin Vassell,1610612759,SG,64,31.0,66.7,34.5,46.5,43.7,78.0,9.2,69.0,80.0,29.7,44.3,103.0,120
1631093,Jaden Ivey,1610612765,SG,30,29.9,17.3,84.5,54.9,37.9,46.7,66.7,64.3,43.7,12.7,67.0,103.0,121
203903,Jordan Clarkson,1610612762,SG,37,26.0,34.7,32.1,17.2,11.5,26.3,88.5,86.9,85.7,88.3,77.0,103.0,122
203501,Tim Hardaway Jr.,1610612765,SG,77,28.0,85.0,27.4,62.0,42.5,3.7,97.7,61.9,94.7,88.3,12.3,103.0,123
1628370,Malik Monk,1610612758,SG,65,31.6,78.0,13.1,62.0,18.4,50.7,85.1,28.6,39.3,50.3,83.3,103.0,124
