Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
507,Taylor Hendricks,21,UTA,PF,3,3,75,1.9,8.6,.222,1.4,5.8,.250,0.5,2.9,.167,.306,1.4,1.9,.750,2.4,4.8,7.2,1.0,2.4,1.9,1.0,3.8,6.7,,hendrta01
508,Chris Duarte,27,CHI,SG,17,0,74,5.8,12.6,.462,2.9,7.3,.400,2.9,5.4,.545,.577,2.9,3.9,.750,2.4,7.3,9.7,4.4,0.0,0.0,0.5,3.4,17.5,,duartch01
509,Daeqwon Plowden,26,ATL,SG,6,0,72,8.0,12.5,.640,4.5,8.5,.529,3.5,4.0,.875,.820,1.0,1.0,1.000,2.0,3.5,5.5,1.0,0.0,0.0,2.0,5.0,21.5,,plowdda01
510,RayJ Dennis,23,IND,PG,11,0,70,5.7,17.0,.333,3.1,10.8,.286,2.6,6.2,.417,.424,1.0,1.0,1.000,1.0,5.1,6.2,7.2,3.6,1.0,2.6,3.6,15.4,,dennira01
511,Josh Christopher,23,MIA,SG,14,0,69,5.7,16.2,.355,1.0,5.7,.182,4.7,10.4,.450,.387,2.1,3.1,.667,0.0,4.7,4.7,4.2,2.6,1.6,3.1,1.0,14.6,,chrisjo01
512,Matt Ryan,27,NYK,SF,19,0,68,5.3,16.4,.323,3.2,10.1,.316,2.1,6.4,.333,.419,1.1,1.1,1.000,0.0,4.2,4.2,1.6,1.1,0.0,1.6,0.5,14.8,,ryanma01
513,Armel Traoré,22,LAL,SF,9,0,67,3.2,10.2,.316,0.0,3.8,.000,3.2,6.4,.500,.316,1.1,3.8,.286,1.1,7.0,8.1,0.5,2.1,1.1,1.6,3.2,7.5,,armeltr01
514,PJ Hall,22,DEN,C,19,0,66,7.6,13.1,.583,1.1,4.4,.250,6.5,8.7,.750,.625,1.6,2.2,.750,3.3,8.7,12.0,2.2,0.0,2.2,1.1,6.0,18.0,,hallpj01
515,Nae'Qwan Tomlin,24,CLE,PF,5,1,63,7.4,18.3,.406,1.1,5.7,.200,6.3,12.6,.500,.438,4.6,6.3,.727,5.1,6.9,12.0,1.1,0.0,0.6,1.1,5.1,20.6,,tomlina01
516,Jamaree Bouyea,25,MIL,PG,5,1,62,3.5,7.0,.500,0.6,2.9,.200,2.9,4.1,.714,.542,2.3,3.5,.667,0.6,2.3,2.9,5.8,2.3,1.2,4.6,1.2,9.9,,bouyeja01
