Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Mikal Bridges,28,NYK,SF,82,82,3036,7.0,14.0,.500,1.9,5.5,.354,5.1,8.5,.594,.570,1.1,1.4,.814,0.8,2.2,3.1,3.6,0.9,0.5,1.6,1.5,17.1,,bridgmi01
2,Josh Hart,29,NYK,SG,77,77,2897,5.0,9.6,.525,1.0,3.1,.333,4.0,6.4,.618,.579,2.0,2.5,.776,2.0,7.2,9.2,5.6,1.5,0.3,2.0,2.5,13.1,,hartjo01
3,Anthony Edwards,23,MIN,SG,79,79,2871,9.0,20.2,.447,4.0,10.2,.395,5.0,10.0,.501,.547,5.2,6.2,.837,0.8,4.9,5.6,4.5,1.1,0.6,3.1,1.9,27.3,MVP-7CPOY-3ASNBA2,edwaran01
4,Devin Booker,28,PHO,SG,75,75,2795,8.4,18.3,.461,2.4,7.1,.332,6.1,11.2,.542,.525,5.6,6.2,.894,1.0,2.9,3.9,6.8,0.9,0.2,2.8,2.6,24.8,,bookede01
5,James Harden,35,LAC,PG,79,79,2789,6.9,16.7,.410,3.0,8.6,.352,3.8,8.1,.472,.501,6.5,7.5,.874,0.7,5.2,5.9,8.9,1.5,0.7,4.4,2.1,23.3,MVP-10ASNBA3,hardeja01
6,DeMar DeRozan,35,SAC,SF,77,77,2768,8.1,17.0,.477,1.1,3.3,.328,7.0,13.7,.513,.509,4.9,5.7,.857,0.7,3.2,3.9,4.4,0.8,0.4,1.4,2.0,22.2,,derozde01
7,Trae Young,26,ATL,PG,76,76,2739,7.4,18.1,.411,2.9,8.4,.340,4.6,9.6,.474,.491,6.5,7.4,.875,0.5,2.6,3.1,11.6,1.2,0.2,4.7,1.9,24.2,CPOY-4AS,youngtr01
8,Tyler Herro,25,MIA,SG,77,77,2725,8.6,18.2,.472,3.3,8.9,.375,5.3,9.4,.565,.563,3.8,4.3,.878,0.5,4.8,5.3,5.6,0.9,0.2,2.6,1.1,24.3,AS,herroty01
9,OG Anunoby,27,NYK,PF,74,74,2706,6.5,13.7,.476,2.3,6.1,.372,4.2,7.5,.561,.559,2.4,3.0,.810,1.3,3.5,4.8,2.2,1.5,0.9,1.4,2.3,17.7,,anunoog01
10,Jalen Green,22,HOU,SG,82,82,2697,8.1,19.2,.423,3.1,8.8,.354,5.0,10.4,.482,.505,3.6,4.5,.813,0.6,4.4,5.0,3.8,0.9,0.4,2.7,1.7,23.0,,greenja05
11,Christian Braun,23,DEN,SG,79,77,2675,6.4,11.0,.580,1.2,3.0,.397,5.2,8.0,.648,.634,2.4,2.9,.827,1.3,4.2,5.5,2.8,1.1,0.5,1.1,2.3,16.4,,braunch01
12,Bam Adebayo,27,MIA,C,78,78,2674,7.3,15.0,.485,1.1,3.0,.357,6.2,12.0,.517,.521,3.4,4.4,.765,2.5,7.6,10.1,4.5,1.3,0.7,2.2,2.2,19.0,DPOY-10,adebaba01
13,Ivica Zubac,27,LAC,C,80,80,2624,8.1,12.9,.628,0.0,0.0,,8.1,12.9,.628,.628,2.1,3.2,.661,4.1,9.7,13.9,2.9,0.8,1.2,1.7,2.3,18.4,DPOY-6DEF2,zubaciv01
14,Jayson Tatum,26,BOS,PF,72,72,2624,9.1,20.1,.452,3.4,10.0,.343,5.7,10.1,.559,.537,4.9,6.0,.814,0.7,7.9,8.5,5.9,1.0,0.5,2.9,2.2,26.5,MVP-4CPOY-10ASNBA1,tatumja01
15,Jaden McDaniels,24,MIN,PF,82,82,2614,5.5,11.5,.477,1.4,4.2,.330,4.1,7.3,.561,.537,1.4,1.8,.813,1.8,4.7,6.5,2.2,1.5,1.0,1.3,3.1,13.8,,mcdanja02
16,Keegan Murray,24,SAC,PF,76,76,2610,5.0,11.3,.444,2.1,6.2,.343,2.9,5.1,.566,.538,0.8,1.0,.833,2.0,5.0,7.0,1.5,0.8,1.0,0.8,2.6,13.0,,murrake02
17,Zach LaVine,29,2TM,SG,74,74,2602,8.6,16.9,.511,3.3,7.4,.446,5.3,9.5,.562,.609,3.3,3.9,.825,0.3,4.1,4.4,4.3,0.8,0.2,2.9,1.7,23.9,,lavinza01
17,Zach LaVine,29,CHI,SF,42,42,1432,9.1,17.8,.511,3.4,7.7,.446,5.7,10.2,.560,.607,3.6,4.6,.797,0.3,4.8,5.1,4.8,1.0,0.3,3.0,1.6,25.3,,lavinza01
17,Zach LaVine,29,SAC,SG,32,32,1170,8.1,15.8,.511,3.2,7.1,.446,4.9,8.7,.564,.611,2.8,3.2,.874,0.3,3.2,3.5,3.7,0.6,0.1,2.7,1.8,22.1,,lavinza01
18,Shai Gilgeous-Alexander,26,OKC,PG,76,76,2598,11.9,22.9,.519,2.3,6.0,.375,9.7,16.9,.571,.569,8.3,9.3,.898,0.9,4.3,5.3,6.7,1.8,1.1,2.5,2.3,34.4,MVP-1DPOY-10CPOY-8ASNBA1,gilgesh01
19,Michael Porter Jr.,26,DEN,SF,77,77,2593,7.3,14.5,.504,2.7,6.8,.395,4.7,7.8,.599,.596,2.1,2.7,.768,1.9,5.6,7.5,2.3,0.7,0.5,1.4,2.2,19.4,,portemi01
20,Derrick White,30,BOS,SG,76,76,2574,5.9,13.4,.442,3.7,9.7,.384,2.2,3.7,.593,.580,1.9,2.3,.839,0.9,3.8,4.8,5.0,1.0,1.1,1.8,1.9,17.5,DPOY-10,whitede01
21,Dyson Daniels,21,ATL,SG,76,76,2571,6.4,12.9,.493,1.1,3.3,.340,5.3,9.6,.545,.536,1.2,2.0,.593,1.7,4.6,6.3,4.7,3.2,0.8,2.2,2.5,15.0,DPOY-2MIP-1DEF1,daniedy01
22,Nikola Jokić,29,DEN,C,70,70,2571,11.0,19.1,.576,1.9,4.6,.417,9.1,14.5,.627,.627,5.1,6.3,.800,2.8,9.7,12.5,10.0,1.8,0.6,3.2,2.2,29.0,MVP-2CPOY-2ASNBA1,jokicni01
23,Austin Reaves,26,LAL,SG,73,73,2550,6.7,14.6,.460,2.8,7.5,.377,3.9,7.1,.547,.556,4.5,5.2,.877,0.9,3.8,4.6,5.9,1.1,0.3,2.5,2.1,20.8,,reaveau01
24,Toumani Camara,24,POR,PF,78,78,2548,4.6,10.1,.458,1.9,5.1,.375,2.7,5.0,.542,.552,1.3,1.8,.722,2.4,3.9,6.4,2.5,1.6,0.7,1.5,3.2,12.5,DPOY-9DEF2,camarto01
25,Pascal Siakam,30,IND,PF,78,78,2548,8.7,16.7,.519,1.8,4.6,.389,6.9,12.1,.568,.572,3.2,4.4,.734,1.9,5.8,7.6,3.7,1.0,0.6,1.5,2.7,22.3,AS,siakapa01
26,Brook Lopez,36,MIL,C,80,80,2546,5.6,10.9,.509,2.0,5.3,.373,3.6,5.7,.636,.599,1.6,2.0,.826,1.6,4.1,5.7,2.0,0.7,2.1,1.2,2.4,14.7,,lopezbr01
27,Karl-Anthony Towns,29,NYK,C,72,72,2517,9.1,17.4,.526,2.0,4.8,.420,7.1,12.5,.567,.584,4.8,5.8,.829,3.0,10.1,13.2,3.2,1.0,0.7,2.7,3.6,25.2,ASNBA3,townska01
28,Bub Carrington,19,WAS,PG,82,57,2458,4.4,11.0,.401,2.0,6.0,.339,2.4,5.0,.475,.493,1.0,1.2,.812,0.5,4.5,5.0,5.3,0.8,0.3,2.1,2.8,11.8,,carrica01
29,Cade Cunningham,23,DET,PG,70,70,2452,10.0,21.4,.469,2.2,6.1,.356,7.9,15.3,.515,.521,4.6,5.4,.846,0.8,5.4,6.2,9.4,1.0,0.8,4.5,2.9,26.9,MVP-7ASNBA3,cunnica01
