PLAYER_ID,PLAYER_NAME,TEAM_ID,POSITION,GP,MIN,ast_tov_ratio_percentile,late_clock_efficiency_percentile,clutch_ast_tov_percentile,efg_pct_percentile,deflections_per_36_percentile,screen_assists_per_36_percentile,loose_balls_per_36_percentile,shooting_foul_pct_percentile,smart_shot_selection_percentile,age_percentile,ast_pct_percentile
1630224,Jalen Green,1610612745,SG,82,32.9,19.0,9.2,22.7,20.7,5.7,1.3,3.3,7.3,42.1,15.0,54.8
1629636,Darius Garland,1610612739,PG,75,30.7,85.7,53.8,97.0,63.3,48.3,16.0,24.7,14.3,61.6,35.0,93.5
1629673,Jordan Poole,1610612764,SG,68,29.4,25.7,36.0,72.7,49.7,39.7,52.7,42.7,37.6,64.7,46.0,82.2
1629632,Coby White,1610612741,SG,74,33.1,54.7,67.5,39.3,57.0,8.7,25.3,42.7,20.6,32.2,35.0,66.1
1628970,Miles Bridges,1610612766,PF,64,31.7,52.7,17.5,35.7,15.3,18.0,52.7,24.7,11.1,23.3,55.7,74.7
1630559,Austin Reaves,1610612747,SG,73,34.9,79.0,18.2,89.0,57.0,28.0,58.3,42.7,33.8,26.4,55.7,80.8
1627783,Pascal Siakam,1610612754,PF,78,32.7,79.3,57.9,63.7,70.7,48.3,73.0,77.3,30.3,6.8,81.0,53.8
204001,Kristaps Porziņģis,1610612738,C,42,28.8,35.0,79.5,86.3,72.0,35.0,84.0,24.7,73.5,13.4,77.0,33.9
1629014,Anfernee Simons,1610612757,SG,70,32.7,78.7,24.0,52.7,30.3,5.7,1.3,24.7,24.0,63.0,46.0,78.4
1630567,Scottie Barnes,1610612761,PF,65,32.8,66.7,30.1,37.3,9.3,56.0,63.7,77.3,8.7,67.1,23.0,88.4
1630217,Desmond Bane,1610612753,SG,69,32.0,73.3,50.0,45.7,63.3,39.7,5.0,63.0,50.0,27.7,55.7,79.1
1630578,Alperen Sengun,1610612745,C,76,31.5,56.0,79.1,49.3,25.3,68.3,91.0,77.3,50.0,50.0,15.0,50.0
1627734,Domantas Sabonis,1610612758,C,70,34.7,65.7,88.0,37.3,93.7,28.0,99.3,42.7,60.6,0.7,71.3,83.6
1628381,John Collins,1610612762,PF,40,30.5,1.7,93.8,5.7,79.7,28.0,79.3,63.0,61.3,27.7,55.7,32.5
1628374,Lauri Markkanen,1610612762,PF,47,31.4,9.0,20.2,9.0,31.3,21.7,77.0,24.7,16.7,51.4,63.7,11.6
1630552,Jalen Johnson,1610612737,SF,36,35.7,43.7,4.5,22.0,42.7,63.3,69.3,24.7,24.7,27.7,15.0,69.5
1629661,Cameron Johnson,1610612751,PF,57,31.6,61.0,51.7,21.7,78.0,35.0,52.7,42.7,26.5,44.2,71.3,64.0
203944,Julius Randle,1610612750,PF,69,32.3,40.7,70.2,34.7,49.0,18.0,80.3,88.7,38.0,18.5,77.0,76.0
1630169,Tyrese Haliburton,1610612754,PG,73,33.6,99.7,50.0,97.3,78.0,79.0,40.0,42.7,12.9,42.1,35.0,97.9
1630596,Evan Mobley,1610612739,PF,71,30.5,32.7,82.2,26.7,87.7,35.0,84.7,77.3,55.4,50.3,23.0,51.4
202696,Nikola Vučević,1610612741,C,73,31.2,72.3,71.2,19.0,81.7,21.7,88.7,3.3,48.8,30.1,93.0,58.9
1631101,Shaedon Sharpe,1610612757,SG,72,31.3,17.3,38.4,15.7,28.3,8.7,1.3,24.7,9.1,32.2,9.7,45.9
1629012,Collin Sexton,1610612762,SG,63,27.9,41.0,81.2,36.7,46.3,39.7,52.7,24.7,39.7,37.3,46.0,81.2
1629008,Michael Porter Jr.,1610612743,SF,77,33.7,25.7,53.8,84.0,86.7,8.7,58.3,10.3,41.8,10.3,55.7,19.5
1628389,Bam Adebayo,1610612748,C,78,34.3,64.7,67.5,79.0,29.0,82.3,89.7,42.7,32.1,15.1,63.7,68.2
203952,Andrew Wiggins,1610612748,SF,60,30.7,28.3,95.2,26.7,36.0,21.7,16.0,42.7,86.4,42.1,77.0,42.8
1628384,OG Anunoby,1610612752,PF,74,36.6,30.3,68.2,77.7,62.0,82.3,40.0,42.7,46.3,60.3,63.7,17.5
1631093,Jaden Ivey,1610612765,SG,30,29.9,17.3,77.1,62.3,39.7,35.0,40.0,94.3,28.9,9.2,15.0,67.1
1628969,Mikal Bridges,1610612752,SF,82,37.0,77.3,63.0,63.7,68.0,15.3,25.3,42.7,8.4,32.2,63.7,46.6
1627749,Dejounte Murray,1610612740,PG,31,32.6,71.7,4.8,96.0,2.0,92.0,5.0,24.7,5.2,63.4,63.7,95.2
202710,Jimmy Butler III,1610612744,SF,55,31.7,97.7,45.9,48.7,38.0,84.0,75.7,88.7,50.0,50.0,94.7,50.0
1628370,Malik Monk,1610612758,SG,65,31.6,78.0,11.0,78.0,25.3,28.0,52.7,42.7,66.6,50.3,55.7,82.9
1630193,Immanuel Quickley,1610612761,PG,33,27.8,95.0,13.7,85.0,30.3,35.0,25.3,3.3,23.0,74.3,46.0,93.2
203078,Bradley Beal,1610612756,SG,53,32.1,60.3,85.6,52.7,68.0,63.3,16.0,63.0,69.7,19.2,85.3,59.9
1629631,De'Andre Hunter,1610612739,SF,64,27.2,9.3,64.7,26.3,74.3,21.7,40.0,24.7,96.9,66.1,55.7,11.6
1630166,Deni Avdija,1610612757,SF,72,30.0,23.3,45.9,36.7,54.0,35.0,16.0,42.7,68.3,15.8,23.0,67.8
1627826,Ivica Zubac,1610612746,C,80,32.8,41.3,94.2,26.7,95.0,4.0,91.0,10.3,59.2,87.3,63.7,40.1
1641718,Keyonte George,1610612762,PG,67,31.5,67.3,43.2,22.3,12.3,5.7,40.0,10.3,7.7,58.6,3.0,86.0
1628401,Derrick White,1610612738,SG,76,33.9,87.7,40.1,82.7,79.7,45.7,25.3,63.0,43.2,40.8,81.0,68.5
1630170,Devin Vassell,1610612759,SG,64,31.0,66.7,29.5,57.3,42.7,63.3,1.3,42.7,24.4,70.2,23.0,44.2
1627736,Malik Beasley,1610612765,SG,82,27.8,41.7,36.0,44.7,74.3,39.7,25.3,3.3,18.8,87.3,63.7,21.2
1630591,Jalen Suggs,1610612753,PG,35,28.6,15.7,2.1,63.7,12.3,90.3,16.0,88.7,41.5,6.8,23.0,74.3
203903,Jordan Clarkson,1610612762,SG,37,26.0,34.7,28.1,21.0,14.0,28.0,58.3,77.3,7.0,37.3,90.0,77.1
202331,Paul George,1610612755,PF,41,32.5,38.0,69.2,43.7,27.0,95.7,16.0,98.3,42.9,33.6,94.7,71.2
1631097,Bennedict Mathurin,1610612754,SF,72,29.9,5.3,11.3,8.3,29.0,10.7,5.0,63.0,50.5,13.0,15.0,20.2
1626167,Myles Turner,1610612754,C,72,30.2,3.0,72.6,8.7,73.7,18.0,88.7,3.3,68.6,33.6,71.3,8.6
1631128,Christian Braun,1610612743,SG,79,33.9,83.3,76.0,86.3,96.3,28.0,69.3,42.7,56.1,15.1,23.0,27.7
1642272,Jared McCain,1610612755,SG,23,25.7,35.7,55.1,0.0,58.7,18.0,5.0,42.7,2.4,46.6,3.0,56.8
1630228,Jonathan Kuminga,1610612744,PF,47,24.3,24.7,5.8,0.0,16.7,48.3,40.0,77.3,25.8,30.1,9.7,47.6
1631109,Mark Williams,1610612766,C,44,26.6,30.0,99.3,20.0,85.7,28.0,93.0,77.3,70.0,98.6,15.0,55.5
1626162,Kelly Oubre Jr.,1610612755,SF,60,34.6,20.7,22.3,44.3,28.3,96.0,5.0,63.0,51.6,37.3,71.3,13.7
1631096,Chet Holmgren,1610612760,C,32,27.4,10.3,84.2,26.7,54.0,4.0,80.3,42.7,56.8,4.5,15.0,26.0
1628398,Kyle Kuzma,1610612749,PF,65,29.8,8.7,8.6,16.3,16.7,2.0,16.0,1.3,84.0,14.7,77.0,37.3
203932,Aaron Gordon,1610612743,PF,51,28.4,75.7,79.8,70.7,90.3,4.0,69.3,10.3,67.2,2.1,71.3,50.7
1629023,P.J. Washington,1610612742,PF,57,32.2,9.7,37.7,73.7,32.3,52.7,52.7,42.7,46.0,3.4,46.0,27.7
1642264,Stephon Castle,1610612759,PG,81,26.7,54.3,14.4,41.3,6.3,52.7,25.3,77.3,31.0,26.4,0.0,76.7
1630581,Josh Giddey,1610612741,PG,70,30.2,80.7,53.4,96.3,37.7,60.3,25.3,77.3,44.6,13.4,9.7,94.2
1629656,Quentin Grimes,1610612755,SG,75,26.8,31.0,81.5,38.7,66.0,48.3,16.0,88.7,72.1,54.1,35.0,60.6
1627751,Jakob Poeltl,1610612761,C,57,29.6,25.3,92.8,16.0,95.0,84.0,95.0,42.7,81.9,76.4,71.3,47.3
1629028,Deandre Ayton,1610612757,C,40,30.1,4.7,61.6,63.7,72.0,15.3,95.7,10.3,57.8,95.9,55.7,17.5
1641711,Gradey Dick,1610612761,SG,54,29.4,14.0,6.5,26.7,16.7,52.7,25.3,42.7,33.1,71.9,3.0,21.2
203924,Jerami Grant,1610612757,PF,47,32.4,25.7,68.2,20.3,5.3,56.0,5.0,24.7,32.8,72.6,81.0,24.7
1630202,Payton Pritchard,1610612738,PG,80,28.4,96.3,61.0,43.3,92.7,21.7,25.3,77.3,10.1,19.9,55.7,61.6
1629675,Naz Reid,1610612750,C,80,27.5,37.0,74.7,7.3,61.0,39.7,78.0,42.7,71.4,46.6,35.0,39.0
1641708,Amen Thompson,1610612745,SF,69,32.3,57.3,89.7,94.0,73.0,82.3,25.3,77.3,41.1,82.5,9.7,58.6
1630700,Dyson Daniels,1610612737,SG,76,33.8,72.7,77.4,62.0,47.0,99.0,40.0,94.3,43.9,44.2,9.7,61.0
