,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
105,Guerschon Yabusele,29,PHI,C,70,43,1895,.501,14.4,.513,.313,.165,.028,.007,.487,.616,.744,.462,.188,.250,.380,.725,1.000,.089,44,.241,.364,3,0,,yabusgu01
106,Gary Trent Jr.,26,MIL,SG,74,9,1893,.431,20.4,.341,.072,.079,.111,.079,.659,.460,.574,.404,.493,.365,.416,.476,.906,.003,1,.217,.489,0,0,,trentga02
107,Anthony Black,21,ORL,PG,78,10,1887,.423,12.0,.685,.255,.308,.071,.052,.315,.471,.627,.414,.250,.344,.318,.435,.839,.060,30,.390,.395,1,0,,blackan01
108,Josh Green,24,CHO,SG,68,67,1887,.428,16.8,.411,.185,.128,.064,.033,.589,.480,.615,.407,.296,.357,.391,.614,.979,.040,17,.609,.411,1,0,,greenjo02
109,Nic Claxton,25,BRK,C,70,62,1882,.563,5.3,.963,.481,.359,.100,.023,.037,.576,.755,.397,.456,.154,.238,.673,1.000,.229,119,.381,.250,0,0,,claxtni01
110,Andrew Nembhard,25,IND,SG,65,65,1881,.458,14.9,.675,.163,.187,.199,.126,.325,.538,.727,.535,.449,.441,.291,.474,.824,.002,1,.269,.298,1,0,,nembhan01
111,Cason Wallace,21,OKC,SG,68,43,1876,.474,13.2,.575,.272,.233,.055,.014,.425,.562,.662,.491,.407,.429,.356,.563,.986,.065,29,.438,.341,0,0,,wallaca01
112,Derrick Jones Jr.,27,LAC,SF,77,55,1873,.526,11.4,.628,.357,.239,.019,.014,.372,.627,.752,.461,.455,.500,.356,.741,1.000,.209,112,.507,.351,1,0,,jonesde02
113,Rui Hachimura,26,LAL,PF,59,57,1869,.509,13.7,.571,.274,.181,.073,.043,.429,.581,.753,.394,.500,.400,.413,.817,.961,.130,67,.429,.425,0,0,,hachiru01
114,RJ Barrett,24,TOR,SF,58,58,1869,.468,10.9,.688,.354,.273,.049,.012,.312,.522,.624,.392,.542,.417,.350,.459,.925,.032,27,.229,.400,1,0,,barrerj01
115,Buddy Hield,32,GSW,SG,82,22,1863,.417,20.0,.302,.093,.127,.041,.041,.698,.527,.726,.500,.406,.281,.370,.616,.931,.011,9,.233,.367,1,0,,hieldbu01
116,Trey Murphy III,24,NOP,SF,53,51,1854,.454,16.6,.478,.217,.178,.054,.030,.522,.556,.725,.430,.378,.400,.361,.691,.848,.093,73,.155,.441,1,0,,murphtr02
117,Zaccharie Risacher,19,ATL,SF,75,73,1843,.458,13.5,.558,.280,.216,.033,.030,.442,.540,.651,.458,.308,.348,.355,.732,.975,.095,67,.410,.433,0,0,ROY-2,risacza01
118,Andrew Wiggins,29,2TM,SF,60,60,1842,.448,14.5,.585,.168,.284,.061,.073,.415,.501,.596,.487,.490,.344,.374,.504,.869,.052,40,.164,.421,0,0,,wiggian01
118,Andrew Wiggins,29,GSW,SF,43,43,1296,.444,14.7,.578,.141,.321,.049,.066,.422,.491,.602,.508,.448,.205,.379,.551,.872,.061,32,.153,.447,0,0,,wiggian01
118,Andrew Wiggins,29,MIA,SF,17,17,546,.458,14.4,.602,.231,.195,.088,.088,.398,.523,.586,.408,.545,.591,.360,.405,.861,.032,8,.190,.368,0,0,,wiggian01
119,Isaiah Collier,20,UTA,PG,71,46,1839,.422,12.0,.695,.209,.368,.094,.025,.305,.497,.698,.451,.288,.286,.249,.349,.595,.027,15,.260,.341,5,1,,colliis01
120,Keldon Johnson,25,SAS,SF,77,0,1838,.482,11.3,.644,.336,.277,.023,.008,.356,.573,.703,.451,.333,.000,.318,.627,.897,.044,30,.339,.290,0,0,,johnske04
121,Royce O'Neale,31,PHO,SF,75,22,1837,.423,21.2,.226,.089,.111,.021,.005,.774,.481,.725,.349,.250,.000,.406,.710,.961,.007,3,.231,.529,3,0,,onealro01
122,P.J. Washington,26,DAL,PF,57,56,1835,.453,12.3,.641,.223,.332,.068,.018,.359,.493,.703,.380,.400,.333,.381,.524,.901,.054,34,.331,.367,0,0,,washipj01
123,CJ McCollum,33,NOP,PG,56,56,1832,.444,16.1,.541,.157,.185,.138,.061,.459,.505,.669,.443,.442,.410,.373,.443,.737,.003,3,.144,.348,0,0,,mccolcj01
124,Haywood Highsmith,28,MIA,SF,74,42,1818,.458,16.4,.404,.205,.159,.036,.005,.596,.570,.688,.484,.357,.000,.382,.667,.978,.049,19,.459,.439,0,0,,highsha01
125,Dorian Finney-Smith,31,2TM,PF,63,40,1818,.448,18.8,.278,.182,.074,.018,.005,.722,.545,.620,.375,.500,.500,.411,.697,.992,.037,14,.382,.450,1,0,,finnedo01
125,Dorian Finney-Smith,31,BRK,PF,20,20,579,.459,17.8,.321,.226,.069,.019,.006,.679,.510,.611,.273,.333,.000,.435,.692,.979,.031,4,.389,.405,0,0,,finnedo01
125,Dorian Finney-Smith,31,LAL,PF,43,20,1239,.442,19.7,.254,.156,.076,.018,.004,.746,.571,.628,.429,.600,1.000,.398,.700,1.000,.040,10,.379,.474,1,0,,finnedo01
126,Alex Sarr,19,WAS,C,67,67,1814,.394,14.4,.588,.170,.298,.086,.034,.412,.454,.695,.360,.324,.393,.308,.701,.952,.077,58,.150,.373,0,0,ROY-4,sarral01
127,Kyrie Irving,32,DAL,SG,50,50,1804,.473,14.9,.620,.153,.252,.134,.080,.380,.517,.703,.487,.441,.382,.401,.320,.632,.001,1,.150,.500,1,0,CPOY-10AS,irvinky01
128,Kyshawn George,21,WAS,SG,68,38,1802,.372,19.1,.352,.159,.132,.049,.011,.648,.464,.609,.347,.370,.167,.322,.573,.921,.026,11,.192,.353,3,0,,georgky01
129,Cameron Johnson,28,BRK,PF,57,57,1800,.475,17.2,.454,.191,.119,.082,.062,.546,.578,.783,.449,.410,.413,.390,.556,.906,.035,24,.213,.448,0,0,,johnsca02
130,Duncan Robinson,30,MIA,SF,74,37,1785,.437,19.9,.271,.122,.128,.018,.003,.729,.556,.642,.518,.333,.000,.393,.760,.884,.012,6,.184,.427,0,0,,robindu01
131,Kris Dunn,30,LAC,PG,74,58,1783,.439,15.7,.487,.130,.275,.064,.018,.513,.549,.719,.492,.536,.250,.335,.556,.933,.016,7,.478,.318,1,0,,dunnkr01
132,Luka Dončić,25,2TM,PG,50,50,1769,.450,17.4,.531,.104,.193,.167,.066,.469,.522,.748,.535,.450,.309,.368,.261,.441,.001,1,.046,.364,2,0,,doncilu01
132,Luka Dončić,25,DAL,PG,22,22,785,.464,17.2,.545,.099,.195,.185,.067,.455,.555,.783,.560,.500,.355,.354,.277,.480,.002,1,.038,.375,1,0,,doncilu01
132,Luka Dončić,25,LAL,PG,28,28,984,.438,17.7,.519,.109,.191,.152,.066,.481,.493,.721,.514,.400,.270,.379,.245,.412,.000,0,.052,.357,1,0,,doncilu01
133,Scoot Henderson,20,POR,PG,66,10,1759,.419,14.9,.566,.235,.199,.072,.061,.434,.469,.590,.346,.490,.381,.354,.253,.771,.020,11,.138,.390,4,1,,hendesc01
134,Wendell Carter Jr.,25,ORL,C,68,51,1758,.460,12.1,.678,.324,.196,.100,.059,.322,.568,.748,.417,.429,.310,.234,.757,1.000,.179,78,.361,.263,0,0,,cartewe01
135,Collin Sexton,26,UTA,SG,63,61,1758,.480,13.1,.687,.151,.340,.135,.061,.313,.513,.618,.512,.487,.321,.406,.373,.682,.006,3,.214,.448,1,0,,sextoco01
136,Mike Conley,37,MIN,PG,71,64,1756,.400,19.4,.338,.077,.150,.081,.030,.662,.380,.583,.371,.342,.000,.410,.433,.819,.000,0,.268,.494,1,0,,conlemi01
137,Amir Coffey,27,LAC,SG,72,13,1748,.471,16.2,.516,.159,.169,.124,.065,.484,.529,.704,.419,.476,.485,.409,.683,.970,.063,28,.368,.462,0,0,,coffeam01
138,Jimmy Butler III,35,2TM,SF,55,55,1746,.504,9.0,.826,.317,.335,.127,.047,.174,.546,.741,.430,.487,.214,.308,.554,.875,.092,52,.500,.385,2,0,,butleji01
138,Jimmy Butler III,35,MIA,PF,25,25,766,.540,8.1,.863,.361,.335,.133,.034,.137,.568,.758,.432,.486,.222,.361,.519,.846,.099,26,.583,.429,1,0,,butleji01
138,Jimmy Butler III,35,GSW,SF,30,30,980,.476,9.9,.796,.281,.335,.123,.057,.204,.526,.723,.429,.488,.211,.279,.586,.895,.087,26,.456,.355,1,0,,butleji01
139,Aaron Wiggins,26,OKC,SG,76,26,1744,.488,14.2,.534,.280,.187,.048,.019,.466,.578,.725,.397,.457,.500,.383,.573,.923,.027,17,.324,.364,1,0,,wiggiaa01
140,Walker Kessler,23,UTA,C,58,58,1740,.663,4.3,.919,.611,.301,.005,.002,.081,.706,.770,.595,.000,.000,.176,.618,1.000,.329,131,.235,.500,1,0,,kesslwa01
141,De'Andre Hunter,27,2TM,SF,64,9,1740,.470,16.5,.491,.150,.192,.100,.050,.509,.537,.649,.473,.487,.553,.405,.637,.911,.039,26,.281,.367,2,0,6MOY-4,huntede01
141,De'Andre Hunter,27,ATL,SF,37,4,1064,.461,16.4,.498,.144,.199,.100,.055,.502,.531,.662,.449,.490,.556,.393,.685,.938,.045,18,.259,.391,1,0,,huntede01
141,De'Andre Hunter,27,CLE,SF,27,5,676,.485,16.6,.478,.159,.178,.100,.041,.522,.550,.628,.521,.481,.545,.426,.549,.867,.030,8,.319,.333,1,0,,huntede01
142,Ochai Agbaji,24,TOR,SG,64,45,1739,.498,13.2,.526,.365,.124,.028,.009,.474,.587,.672,.439,.200,.400,.399,.794,.960,.069,33,.542,.416,0,0,,agbajoc01
143,Brandin Podziemski,21,GSW,SG,64,33,1716,.445,17.2,.509,.111,.200,.135,.062,.491,.516,.671,.508,.482,.333,.372,.552,.843,.002,0,.172,.396,4,0,,podzibr01
144,Jabari Smith Jr.,21,HOU,PF,57,39,1716,.438,16.2,.511,.173,.145,.145,.048,.489,.519,.704,.427,.500,.185,.354,.567,.969,.057,28,.235,.354,0,0,,smithja05
145,Anthony Davis,31,2TM,C,51,51,1706,.516,10.8,.864,.297,.291,.144,.132,.136,.553,.756,.487,.344,.475,.282,.605,.886,.099,86,.081,.100,0,0,AS,davisan02
145,Anthony Davis,31,LAL,C,42,42,1440,.528,9.6,.876,.301,.309,.142,.124,.124,.560,.763,.496,.361,.457,.298,.597,.964,.103,75,.096,.000,0,0,,davisan02
145,Anthony Davis,31,DAL,PF,9,9,266,.461,12.0,.803,.276,.204,.151,.171,.197,.516,.714,.419,.261,.538,.233,.651,.571,.079,11,.033,1.000,0,0,,davisan02
146,Bradley Beal,31,PHO,SG,53,38,1702,.497,15.2,.620,.159,.199,.143,.120,.380,.565,.764,.536,.505,.422,.386,.519,.873,.024,16,.303,.413,0,0,,bealbr01
147,Georges Niang,31,2TM,PF,79,3,1697,.461,18.1,.340,.139,.158,.035,.008,.660,.569,.640,.571,.364,.200,.406,.833,.988,.000,0,.377,.409,0,0,,niangge01
147,Georges Niang,31,CLE,PF,51,1,1053,.477,17.6,.353,.172,.141,.037,.003,.647,.618,.633,.673,.385,.000,.400,.829,.989,.000,0,.444,.430,0,0,,niangge01
147,Georges Niang,31,ATL,PF,28,2,644,.441,18.7,.324,.096,.180,.033,.015,.676,.500,.654,.469,.333,.250,.413,.841,.987,.000,0,.293,.370,0,0,,niangge01
148,Jakob Poeltl,29,TOR,C,57,56,1686,.627,5.0,.995,.496,.344,.145,.010,.005,.628,.746,.518,.512,.333,.333,.746,1.000,.055,29,.333,1.000,1,0,,poeltja01
149,Scotty Pippen Jr.,24,MEM,PG,79,21,1683,.480,12.5,.631,.261,.296,.061,.013,.369,.528,.658,.466,.333,.250,.397,.500,.977,.020,11,.205,.489,1,0,,pippesc02
150,Kevin Huerter,26,2TM,SG,69,31,1679,.425,18.8,.353,.134,.151,.040,.028,.647,.587,.765,.505,.458,.353,.338,.760,.932,.015,8,.230,.389,1,0,,huertke01
150,Kevin Huerter,26,SAC,SG,43,15,899,.413,19.3,.339,.129,.132,.045,.032,.661,.629,.750,.512,.643,.600,.302,.788,.952,.010,3,.220,.311,1,0,,huertke01
150,Kevin Huerter,26,CHI,SG,26,16,780,.439,18.3,.367,.139,.170,.034,.024,.633,.546,.780,.500,.200,.000,.376,.729,.914,.020,5,.242,.467,0,0,,huertke01
151,Santi Aldama,24,MEM,PF,65,16,1660,.483,15.6,.497,.208,.210,.059,.020,.503,.599,.763,.493,.500,.308,.368,.642,.967,.073,46,.261,.412,4,0,,aldamsa01
152,AJ Green,25,MIL,SG,73,7,1659,.429,24.0,.144,.028,.017,.038,.061,.856,.443,.667,.143,.500,.385,.427,.741,.942,.000,0,.292,.528,3,1,,greenaj01
153,Al Horford,38,BOS,C,60,42,1659,.423,19.0,.319,.119,.163,.015,.022,.681,.551,.745,.467,.429,.200,.363,.827,.991,.017,8,.318,.390,1,0,,horfoal01
154,Terry Rozier,30,MIA,PG,64,23,1658,.391,15.7,.515,.173,.216,.072,.054,.485,.480,.600,.394,.435,.500,.295,.459,.802,.002,1,.412,.268,4,0,,roziete01
155,Peyton Watson,22,DEN,SF,68,18,1656,.477,10.7,.682,.350,.257,.058,.016,.318,.534,.707,.382,.320,.000,.353,.801,.979,.178,59,.551,.453,1,0,,watsope01
156,Moses Moody,22,GSW,SG,74,34,1649,.433,17.0,.407,.137,.201,.055,.014,.593,.519,.718,.509,.194,.000,.374,.667,.968,.033,17,.368,.435,0,0,,moodymo01
157,Tristan da Silva,23,ORL,SF,74,38,1629,.412,15.1,.505,.197,.230,.043,.035,.495,.488,.589,.468,.333,.235,.335,.613,.950,.062,23,.393,.372,1,0,,dasiltr01
158,Donte DiVincenzo,28,MIN,SG,62,10,1606,.422,20.5,.261,.126,.106,.024,.005,.739,.490,.627,.365,.357,.333,.397,.592,.851,.013,5,.196,.419,2,0,,divindo01
159,Isaiah Joe,25,OKC,SG,74,16,1604,.440,22.3,.207,.070,.049,.054,.034,.793,.549,.805,.517,.313,.450,.412,.791,.911,.015,9,.180,.548,0,0,,joeis01
160,Corey Kispert,25,WAS,SF,61,0,1602,.451,17.5,.416,.189,.182,.039,.005,.584,.574,.729,.466,.409,.000,.364,.793,.942,.012,7,.164,.370,5,0,,kispeco01
161,Caris LeVert,30,2TM,SG,64,3,1596,.467,14.3,.526,.299,.125,.087,.015,.474,.552,.665,.427,.404,.222,.373,.644,.792,.053,30,.310,.420,0,0,,leverca01
161,Caris LeVert,30,CLE,SF,38,3,904,.453,14.6,.503,.302,.114,.074,.013,.497,.500,.633,.294,.318,.250,.405,.573,.817,.047,12,.331,.449,0,0,,leverca01
161,Caris LeVert,30,ATL,SG,26,0,692,.482,13.9,.548,.296,.136,.100,.017,.452,.600,.697,.537,.467,.200,.338,.697,.761,.060,18,.287,.385,0,0,,leverca01
162,Miles McBride,24,NYK,PG,64,10,1593,.406,18.3,.430,.141,.101,.110,.079,.570,.455,.494,.327,.550,.419,.369,.393,.809,.026,10,.276,.395,3,0,,mcbrimi01
163,Isaiah Hartenstein,26,OKC,C,57,53,1590,.581,6.7,.960,.363,.369,.225,.004,.040,.605,.730,.548,.509,.000,.000,.810,,.200,89,.158,.000,0,0,,harteis01
164,Gradey Dick,21,TOR,SG,54,54,1587,.410,16.3,.496,.207,.130,.110,.049,.504,.470,.582,.310,.493,.375,.350,.795,.947,.034,18,.261,.341,1,0,,dickgr01
165,Paolo Banchero,22,ORL,PF,46,46,1582,.452,13.8,.701,.213,.210,.165,.114,.299,.509,.691,.450,.440,.375,.320,.378,.494,.055,40,.092,.280,5,0,,banchpa01
166,Patrick Williams,23,CHI,PF,63,36,1576,.397,16.6,.473,.211,.161,.052,.048,.527,.447,.541,.373,.444,.280,.353,.569,.938,.048,18,.217,.390,0,0,,willipa01
167,Obi Toppin,26,IND,PF,79,4,1545,.529,14.9,.497,.295,.159,.037,.007,.503,.695,.791,.632,.273,.250,.365,.758,.964,.129,74,.385,.440,5,0,,toppiob01
168,Grayson Allen,29,PHO,SG,64,7,1544,.448,20.0,.284,.102,.139,.039,.004,.716,.504,.680,.441,.263,.500,.426,.700,.966,.018,8,.263,.489,0,0,,allengr01
169,Sam Hauser,27,BOS,PF,71,19,1541,.451,22.9,.158,.053,.032,.040,.034,.842,.640,.720,.467,.737,.563,.416,.813,.952,.006,1,.268,.458,1,0,,hausesa01
170,Ziaire Williams,23,BRK,SF,63,45,1541,.412,16.2,.419,.242,.135,.027,.015,.581,.509,.659,.300,.429,.125,.341,.631,.981,.092,38,.411,.315,2,0,,willizi02
171,Gabe Vincent,28,LAL,PG,72,11,1527,.400,21.0,.264,.079,.090,.057,.038,.736,.532,.636,.474,.458,.563,.353,.593,.872,.000,0,.356,.391,1,0,,vincega01
172,Victor Wembanyama,21,SAS,C,46,46,1527,.476,17.0,.530,.208,.130,.095,.098,.470,.586,.809,.468,.432,.417,.352,.703,.859,.114,91,.065,.346,6,0,AS,wembavi01
173,Jerami Grant,30,POR,PF,47,47,1524,.373,16.0,.484,.197,.166,.073,.049,.516,.381,.504,.284,.333,.286,.365,.519,.963,.035,12,.368,.367,0,0,,grantje01
174,Jonas Valančiūnas,32,2TM,C,81,21,1524,.550,7.3,.941,.319,.400,.129,.093,.059,.571,.670,.578,.420,.414,.216,.573,1.000,.070,40,.081,.000,0,0,,valanjo01
174,Jonas Valančiūnas,32,WAS,C,49,12,983,.547,7.8,.936,.325,.372,.135,.104,.064,.567,.693,.548,.421,.432,.259,.580,1.000,.055,21,.037,.000,0,0,,valanjo01
174,Jonas Valančiūnas,32,SAC,C,32,9,541,.556,6.8,.951,.307,.459,.117,.068,.049,.579,.619,.628,.417,.357,.100,.558,1.000,.102,19,.200,.000,0,0,,valanjo01
175,Kyle Filipowski,21,UTA,C,72,27,1522,.502,13.2,.575,.218,.320,.031,.006,.425,.614,.726,.530,.750,.333,.350,.579,.935,.098,47,.336,.351,1,0,,filipky01
176,Ja Morant,25,MEM,PG,50,50,1519,.454,12.7,.679,.233,.309,.110,.027,.321,.523,.691,.436,.449,.375,.309,.237,.614,.022,17,.179,.314,6,0,,moranja01
177,Matas Buzelis,20,CHI,SF,80,31,1511,.454,13.7,.521,.305,.178,.023,.014,.479,.540,.633,.434,.154,.500,.361,.699,.979,.141,65,.504,.366,0,0,ROY-7,buzelma01
178,LaMelo Ball,23,CHO,PG,47,47,1505,.405,17.8,.474,.138,.208,.093,.035,.526,.478,.601,.426,.452,.371,.339,.233,.620,.005,4,.089,.319,7,0,,ballla01
179,Dalton Knecht,23,LAL,SF,78,16,1494,.461,18.1,.390,.162,.120,.075,.032,.610,.594,.789,.448,.500,.389,.376,.744,.922,.095,45,.268,.407,2,0,,knechda01
180,Kevin Porter Jr.,24,2TM,SG,75,4,1482,.449,13.8,.729,.179,.212,.187,.150,.271,.501,.658,.413,.516,.418,.311,.261,.491,.066,39,.124,.455,0,0,,porteke02
180,Kevin Porter Jr.,24,LAC,SG,45,2,884,.423,14.0,.740,.157,.219,.199,.165,.260,.485,.703,.404,.506,.358,.245,.267,.538,.047,17,.085,.556,0,0,,porteke02
180,Kevin Porter Jr.,24,MIL,SG,30,2,598,.494,13.6,.710,.216,.200,.167,.127,.290,.529,.604,.429,.537,.548,.408,.250,.448,.098,22,.183,.385,0,0,,porteke02
181,D'Angelo Russell,28,2TM,PG,58,36,1480,.390,18.4,.436,.100,.176,.121,.039,.564,.489,.703,.491,.377,.280,.314,.449,.584,.002,0,.089,.281,2,0,,russeda01
181,D'Angelo Russell,28,LAL,PG,29,10,763,.415,17.7,.460,.132,.167,.119,.042,.540,.510,.659,.500,.432,.308,.333,.425,.643,.003,0,.095,.313,1,0,,russeda01
181,D'Angelo Russell,28,BRK,PG,29,26,717,.367,19.0,.413,.070,.183,.122,.037,.587,.467,.783,.483,.325,.250,.297,.476,.526,.000,0,.083,.250,1,0,,russeda01
182,Lauri Markkanen,27,UTA,PF,47,47,1476,.423,17.3,.430,.150,.204,.044,.031,.570,.525,.638,.510,.355,.318,.346,.658,1.000,.104,61,.180,.417,1,0,,markkla01
183,Luke Kennard,28,MEM,SG,65,11,1472,.478,19.1,.394,.074,.128,.132,.060,.606,.547,.750,.473,.561,.423,.433,.538,.947,.002,1,.241,.540,1,0,,kennalu01
184,Jamal Shead,22,TOR,PG,75,11,1467,.405,15.3,.558,.169,.236,.127,.026,.442,.470,.624,.412,.469,.000,.323,.402,.875,.016,5,.148,.394,4,0,,sheadja01
185,Aaron Gordon,29,DEN,PF,51,42,1447,.531,11.8,.654,.348,.195,.070,.040,.346,.582,.665,.464,.571,.450,.436,.566,.867,.141,63,.360,.484,1,0,,gordoaa01
186,Isaiah Stewart,23,DET,C,72,4,1434,.559,7.2,.832,.438,.346,.041,.006,.168,.607,.681,.523,.615,.000,.321,.730,1.000,.111,35,.170,.333,0,0,,stewais01
187,Brice Sensabaugh,21,UTA,SF,71,15,1432,.459,18.7,.379,.075,.172,.110,.022,.621,.520,.711,.495,.455,.385,.422,.585,.860,.008,5,.306,.509,1,0,,sensabr01
188,Goga Bitadze,25,ORL,C,70,42,1430,.611,4.9,.917,.599,.265,.035,.018,.083,.656,.739,.544,.333,.167,.107,.676,1.000,.289,87,.214,.000,1,0,,bitadgo01
189,Kel'el Ware,20,MIA,C,64,36,1422,.554,9.3,.761,.401,.269,.075,.015,.239,.629,.715,.576,.429,.286,.315,.766,.971,.321,128,.180,.200,2,0,ROY-6,wareke01
190,Tari Eason,23,HOU,PF,57,16,1420,.487,11.3,.671,.377,.193,.075,.025,.329,.557,.678,.435,.405,.143,.342,.531,.984,.100,47,.364,.358,1,0,,easonta01
191,Zach Edey,22,MEM,C,66,55,1416,.580,6.1,.880,.501,.335,.035,.009,.120,.612,.760,.414,.400,.500,.346,.635,1.000,.236,94,.308,.250,0,0,ROY-5,edeyza01
192,T.J. McConnell,32,IND,PG,79,1,1415,.519,9.1,.921,.240,.357,.263,.061,.079,.537,.667,.520,.457,.474,.306,.388,.733,.000,0,.306,.400,1,0,,mccontj01
193,Terance Mann,28,2TM,SG,67,13,1414,.496,13.5,.605,.247,.199,.116,.044,.395,.580,.765,.463,.438,.444,.368,.579,.900,.080,31,.466,.421,0,0,,mannte01
193,Terance Mann,28,LAC,SG,37,12,732,.446,13.4,.615,.272,.174,.128,.041,.385,.508,.717,.294,.440,.250,.347,.672,.846,.092,17,.400,.467,0,0,,mannte01
193,Terance Mann,28,ATL,SG,30,1,682,.541,13.6,.596,.225,.220,.106,.046,.404,.646,.816,.583,.435,.600,.386,.512,.941,.069,14,.523,.391,0,0,,mannte01
194,Ryan Dunn,22,PHO,SF,74,44,1410,.430,16.0,.447,.166,.203,.061,.017,.553,.577,.759,.495,.414,.375,.311,.748,1.000,.075,31,.564,.329,0,0,,dunnry01
195,Sam Merrill,28,CLE,SG,71,4,1401,.406,22.7,.132,.085,.028,.005,.014,.868,.625,.722,.500,.000,.500,.372,.800,.993,.000,0,.220,.383,0,0,,merrisa01
196,Ayo Dosunmu,25,CHI,SG,46,26,1394,.492,12.4,.579,.372,.176,.027,.004,.421,.612,.707,.456,.333,.500,.328,.553,.935,.027,11,.407,.351,0,0,,dosunay01
197,Ty Jerome,27,CLE,SG,70,3,1392,.516,15.6,.591,.121,.275,.168,.026,.409,.570,.560,.571,.577,.563,.439,.332,.640,.000,0,.146,.459,2,0,6MOY-3,jeromty01
198,Julian Strawther,22,DEN,SG,65,4,1384,.432,17.2,.447,.142,.191,.097,.016,.553,.535,.681,.473,.489,.250,.349,.724,.894,.012,6,.138,.541,0,0,,strawju01
199,Nick Smith Jr.,20,CHO,SG,60,27,1369,.391,18.5,.461,.069,.174,.158,.060,.539,.450,.590,.404,.467,.382,.340,.381,.817,.004,2,.193,.356,1,0,,smithni01
200,Jaime Jaquez Jr.,23,MIA,SF,66,17,1368,.461,9.9,.742,.288,.398,.039,.017,.258,.513,.677,.435,.222,.250,.311,.443,.892,.032,12,.513,.262,2,0,,jaqueja01
201,Nicolas Batum,36,LAC,PF,78,8,1367,.437,22.1,.147,.059,.055,.008,.025,.853,.457,.571,.385,.000,.500,.433,.500,.989,.021,4,.478,.474,0,0,,batumni01
202,Jose Alvarado,26,NOP,PG,56,23,1366,.392,17.9,.407,.136,.177,.081,.013,.593,.439,.563,.348,.452,.286,.359,.376,.703,.000,0,.207,.359,1,0,,alvarjo01
203,Jeremy Sochan,21,SAS,PF,54,23,1364,.535,7.4,.806,.546,.207,.038,.015,.194,.590,.707,.361,.333,.143,.308,.744,.964,.196,77,.385,.314,0,0,,sochaje01
204,Luke Kornet,29,BOS,C,73,16,1361,.668,2.8,.989,.732,.225,.029,.004,.011,.675,.761,.429,.375,1.000,.000,.695,,.354,86,.333,.000,0,0,,kornelu01
205,Trey Lyles,29,SAC,PF,69,5,1349,.420,17.6,.364,.171,.152,.029,.011,.636,.559,.688,.404,.636,.500,.340,.789,1.000,.078,27,.311,.378,0,0,,lylestr01
206,Jake LaRavia,23,2TM,PF,66,0,1349,.475,14.6,.579,.249,.270,.047,.012,.421,.513,.607,.484,.250,.250,.423,.590,.950,.074,20,.261,.378,2,1,,laravja01
206,Jake LaRavia,23,MEM,PF,47,0,982,.490,12.1,.627,.307,.270,.037,.012,.373,.517,.595,.446,.444,.333,.444,.641,.950,.079,16,.289,.385,2,1,,laravja01
206,Jake LaRavia,23,SAC,PF,19,0,367,.438,17.0,.458,.104,.271,.073,.010,.542,.500,.700,.577,.000,.000,.385,.409,.950,.063,4,.212,.364,0,0,,laravja01
207,Bogdan Bogdanović,32,2TM,SG,54,4,1348,.427,18.7,.413,.110,.128,.120,.055,.587,.517,.574,.476,.525,.481,.363,.524,.848,.002,1,.208,.367,1,0,,bogdabo01
207,Bogdan Bogdanović,32,ATL,SG,24,0,598,.371,19.1,.348,.152,.076,.063,.058,.652,.500,.588,.353,.429,.538,.301,.769,.909,.004,1,.267,.308,0,0,,bogdabo01
207,Bogdan Bogdanović,32,LAC,SG,30,4,750,.474,18.3,.466,.075,.172,.168,.052,.534,.528,.550,.522,.556,.429,.427,.379,.803,.000,0,.147,.476,1,0,,bogdabo01
208,Justin Champagnie,23,WAS,SF,62,31,1340,.511,13.9,.530,.324,.182,.022,.000,.470,.624,.767,.413,.333,,.383,.566,.986,.075,30,.316,.377,1,0,,champju01
209,Paul George,34,PHI,PF,41,41,1334,.430,18.0,.530,.105,.125,.140,.160,.470,.493,.750,.408,.525,.363,.358,.282,.656,.021,8,.175,.277,1,0,,georgpa01
210,Ausar Thompson,22,DET,SF,59,48,1328,.535,6.0,.893,.498,.352,.033,.011,.107,.572,.690,.451,.200,.200,.224,.621,1.000,.272,107,.510,.240,4,0,,thompau01
211,Donovan Clingan,20,POR,C,67,37,1324,.539,5.8,.853,.617,.222,.009,.006,.147,.582,.680,.338,.000,.500,.286,.602,1.000,.207,58,.102,.400,0,0,,clingdo01
212,Jordan Hawkins,22,NOP,SG,56,9,1321,.372,19.3,.403,.092,.092,.119,.101,.597,.433,.549,.353,.500,.321,.331,.629,.909,.036,16,.232,.403,0,0,,hawkijo01
213,Tyrese Martin,25,BRK,SG,60,11,1315,.406,18.0,.394,.127,.176,.073,.017,.606,.492,.746,.354,.412,.375,.351,.522,.939,.013,6,.305,.384,2,0,,martity01
214,Mason Plumlee,34,PHO,C,74,21,1300,.619,3.9,.980,.545,.396,.035,.005,.020,.631,.782,.475,.143,.000,.000,.776,,.347,62,.500,.000,1,0,,plumlma01
