,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
27,Karl-Anthony Towns,29,NYK,C,72,72,2517,.526,10.8,.722,.353,.277,.058,.035,.278,.567,.695,.476,.400,.262,.420,.586,.972,.071,76,.062,.333,0,0,ASNBA3,townska01
28,Bub Carrington,19,WAS,PG,82,57,2458,.401,19.1,.456,.102,.114,.102,.139,.544,.475,.553,.353,.553,.462,.339,.481,.667,.027,18,.135,.327,1,0,,carrica01
29,Cade Cunningham,23,DET,PG,70,70,2452,.469,12.6,.713,.167,.362,.129,.056,.287,.515,.605,.497,.479,.444,.356,.228,.570,.033,39,.048,.400,4,0,MVP-7ASNBA3,cunnica01
30,Tyrese Haliburton,24,IND,PG,73,73,2451,.473,19.3,.441,.101,.140,.107,.092,.559,.581,.725,.582,.546,.462,.388,.391,.528,.024,22,.073,.439,9,0,NBA3,halibty01
31,Coby White,24,CHI,SG,74,73,2450,.453,16.6,.479,.224,.153,.060,.043,.521,.544,.669,.456,.507,.250,.370,.336,.759,.010,8,.135,.380,8,0,,whiteco01
32,LeBron James,40,LAL,SF,70,70,2444,.513,13.4,.688,.242,.230,.113,.104,.312,.574,.782,.473,.503,.394,.376,.382,.691,.056,71,.088,.343,2,0,MVP-6CPOY-7ASNBA2,jamesle01
33,Domantas Sabonis,28,SAC,C,70,70,2429,.590,8.1,.825,.430,.306,.044,.047,.175,.627,.708,.560,.462,.452,.417,.630,.985,.097,80,.051,.500,0,0,,sabondo01
34,Jamal Murray,27,DEN,PG,67,67,2418,.474,15.6,.646,.155,.175,.153,.163,.354,.518,.667,.485,.468,.459,.393,.355,.615,.012,13,.093,.378,3,0,,murraja01
35,Alperen Sengun,22,HOU,C,76,76,2395,.496,7.5,.921,.319,.405,.164,.033,.079,.519,.679,.454,.396,.368,.233,.473,.952,.067,65,.067,.333,0,0,AS,sengual01
36,Dillon Brooks,29,HOU,SF,75,75,2388,.429,17.3,.476,.127,.155,.135,.058,.524,.465,.544,.475,.372,.481,.397,.444,.962,.019,15,.230,.380,1,0,,brookdi01
37,Rudy Gobert,32,MIN,C,72,72,2388,.669,2.4,1.000,.757,.218,.022,.004,.000,.669,.790,.324,.000,.000,,.707,,.494,225,,,0,0,DPOY-13DEF2,goberru01
38,Tobias Harris,32,DET,PF,73,73,2305,.477,13.1,.672,.168,.293,.168,.043,.328,.542,.770,.475,.489,.314,.345,.539,.934,.075,56,.447,.390,0,0,,harrito02
39,Darius Garland,25,CLE,PG,75,75,2301,.472,16.3,.549,.148,.193,.147,.060,.451,.530,.649,.485,.549,.338,.401,.330,.571,.002,1,.151,.400,1,0,CPOY-6AS,garlada01
40,Jalen Brunson,28,NYK,PG,65,65,2301,.488,14.2,.669,.149,.255,.181,.084,.331,.539,.676,.497,.525,.455,.383,.236,.461,.000,0,.144,.404,0,0,MVP-10CPOY-1ASNBA2,brunsja01
41,Jarrett Allen,26,CLE,C,82,82,2296,.706,3.6,.992,.594,.342,.050,.006,.008,.712,.813,.584,.469,.000,.000,.825,,.272,159,.400,.000,0,0,,allenja01
42,Chris Paul,39,SAS,PG,82,82,2292,.427,21.2,.364,.026,.048,.189,.101,.636,.514,.800,.536,.518,.424,.377,.220,.493,.000,0,.127,.340,2,0,,paulch01
43,Anfernee Simons,25,POR,SG,70,70,2292,.426,17.9,.473,.124,.181,.108,.059,.527,.496,.636,.446,.369,.591,.363,.186,.609,.014,15,.093,.327,5,0,,simonan01
44,Giannis Antetokounmpo,30,MIL,PF,67,67,2289,.601,7.0,.952,.511,.195,.096,.150,.048,.620,.773,.428,.480,.439,.222,.429,.500,.205,243,.048,.000,1,0,MVP-3DPOY-8ASNBA1,antetgi01
45,Malik Beasley,28,DET,SG,82,18,2283,.430,20.8,.285,.057,.132,.055,.041,.715,.466,.656,.447,.356,.409,.416,.634,.937,.022,20,.209,.531,2,0,6MOY-2,beaslma01
