PLAYER_ID,PLAYER_NAME,TEAM_ID,GP,MIN,composite_iq_percentile,iq_rank
203999,Nikola Jokić,1610612743,70,36.7,84.2,1
1628392,Isaiah Hartenstein,1610612760,57,27.9,77.0,2
203507,Giannis Antetokounmpo,1610612749,67,34.2,76.5,3
1626204,Larry Nance Jr.,1610612737,24,19.3,74.1,4
1641708,Amen Thompson,1610612745,69,32.3,73.6,5
1629680,Matisse Thybulle,1610612757,15,20.8,73.1,6
1629660,Ty Jerome,1610612739,70,19.9,72.8,7
1641726,Dereck Lively II,1610612742,36,23.1,71.1,8
1631128,Christian Braun,1610612743,79,33.9,71.0,9
1629048,Goga Bitadze,1610612753,70,20.4,70.7,10
1631131,Oscar Tshiebwe,1610612762,14,18.2,70.5,11
1630169,Tyrese Haliburton,1610612754,73,33.6,70.5,12
2544,LeBron James,1610612747,70,34.9,70.3,13
1630200,Tre Jones,1610612741,46,19.7,69.5,14
1628983,Shai Gilgeous-Alexander,1610612760,76,34.2,69.5,15
1628404,Josh Hart,1610612752,77,37.6,69.3,16
1630168,Onyeka Okongwu,1610612737,74,27.9,69.3,17
1627783,Pascal Siakam,1610612754,78,32.7,69.2,18
1631114,Jalen Williams,1610612760,69,32.4,69.2,19
1629627,Zion Williamson,1610612740,30,28.6,69.0,20
1641717,Cason Wallace,1610612760,68,27.6,68.5,21
204456,T.J. McConnell,1610612754,79,17.9,68.4,22
1630573,Sam Hauser,1610612738,71,21.7,67.6,23
1630314,Brandon Williams,1610612742,33,14.8,66.8,24
1628379,Luke Kennard,1610612763,65,22.6,66.8,25
1628389,Bam Adebayo,1610612748,78,34.3,66.5,26
1626158,Richaun Holmes,1610612764,31,17.2,66.3,27
1630700,Dyson Daniels,1610612737,76,33.8,66.3,28
1629611,Terance Mann,1610612737,67,21.1,66.2,29
1627734,Domantas Sabonis,1610612758,70,34.7,66.2,30
1630198,Isaiah Joe,1610612760,74,21.7,66.0,31
1630590,Scotty Pippen Jr.,1610612763,79,21.3,65.7,32
1629655,Daniel Gafford,1610612742,57,21.5,65.3,33
1629634,Brandon Clarke,1610612763,64,18.9,65.2,34
1626145,Tyus Jones,1610612756,81,26.8,64.8,35
1627747,Caris LeVert,1610612737,64,24.9,64.5,36
1628386,Jarrett Allen,1610612739,82,28.0,64.2,37
201950,Jrue Holiday,1610612738,62,30.6,64.2,38
1631117,Walker Kessler,1610612762,58,30.0,63.7,39
1630202,Payton Pritchard,1610612738,80,28.4,63.7,40
202681,Kyrie Irving,1610612742,50,36.1,63.6,41
203932,Aaron Gordon,1610612743,51,28.4,63.2,42
1630230,Naji Marshall,1610612742,69,27.8,63.0,43
1631342,Daeqwon Plowden,1610612737,6,11.9,62.9,44
1628973,Jalen Brunson,1610612752,65,35.4,62.7,45
1630583,Santi Aldama,1610612763,65,25.5,62.7,46
1627750,Jamal Murray,1610612743,67,36.1,62.5,47
1630578,Alperen Sengun,1610612745,76,31.5,62.4,48
1628978,Donte DiVincenzo,1610612750,62,25.9,62.1,49
202710,Jimmy Butler III,1610612744,55,31.7,62.0,50
1627824,Guerschon Yabusele,1610612755,70,27.1,61.7,51
1629636,Darius Garland,1610612739,75,30.7,61.2,52
101108,Chris Paul,1610612759,82,28.0,61.1,53
201939,Stephen Curry,1610612744,70,32.2,61.1,54
1629651,Nic Claxton,1610612751,70,26.9,61.0,55
1630581,Josh Giddey,1610612741,70,30.2,61.0,56
1627751,Jakob Poeltl,1610612761,57,29.6,60.9,57
1628384,OG Anunoby,1610612752,74,36.6,60.7,58
1629652,Luguentz Dort,1610612760,71,29.2,60.5,59
203084,Harrison Barnes,1610612759,82,27.2,60.3,60
1630596,Evan Mobley,1610612739,71,30.5,60.1,61
1628369,Jayson Tatum,1610612738,72,36.4,60.1,62
1626157,Karl-Anthony Towns,1610612752,72,35.0,60.0,63
1630598,Aaron Wiggins,1610612760,76,22.9,59.9,64
1628401,Derrick White,1610612738,76,33.9,59.7,65
1628969,Mikal Bridges,1610612752,82,37.0,59.4,66
204001,Kristaps Porziņģis,1610612738,42,28.8,59.4,67
1630167,Obi Toppin,1610612754,79,19.6,59.4,68
1627884,Derrick Jones Jr.,1610612746,77,24.3,59.1,69
202695,Kawhi Leonard,1610612746,37,31.9,59.1,70
1631109,Mark Williams,1610612766,44,26.6,58.5,71
1626220,Royce O'Neale,1610612756,75,24.5,58.3,72
201572,Brook Lopez,1610612749,80,31.8,58.1,73
202696,Nikola Vučević,1610612741,73,31.2,57.8,74
1627826,Ivica Zubac,1610612746,80,32.8,57.8,75
201142,Kevin Durant,1610612756,62,36.5,57.3,76
1630631,Jose Alvarado,1610612740,56,24.4,57.2,77
203484,Kentavious Caldwell-Pope,1610612763,77,29.6,56.4,78
1629008,Michael Porter Jr.,1610612743,77,33.7,56.3,79
1629060,Rui Hachimura,1610612747,59,31.7,55.9,80
1631105,Jalen Duren,1610612765,78,26.1,55.8,81
1629638,Nickeil Alexander-Walker,1610612750,82,25.3,55.6,82
1626164,Devin Booker,1610612756,75,37.3,55.5,83
203078,Bradley Beal,1610612756,53,32.1,55.4,84
1630549,Day'Ron Sharpe,1610612751,50,18.1,55.3,85
1630559,Austin Reaves,1610612747,73,34.9,55.3,86
1630175,Cole Anthony,1610612763,67,18.4,55.3,87
1631110,Jeremy Sochan,1610612759,54,25.3,55.1,88
1629622,Max Strus,1610612739,50,25.5,55.1,89
1628989,Kevin Huerter,1610612741,69,24.3,55.0,90
1629001,De'Anthony Melton,1610612751,6,20.2,54.9,91
1630541,Moses Moody,1610612744,74,22.3,54.7,92
201143,Al Horford,1610612738,60,27.6,54.5,93
1627763,Malcolm Brogdon,1610612764,24,23.5,54.5,94
1641764,Brandin Podziemski,1610612744,64,26.8,54.4,95
1629684,Grant Williams,1610612766,16,29.9,54.4,96
1629021,Moritz Wagner,1610612753,30,18.8,54.3,97
1629029,Luka Dončić,1610612747,50,35.4,54.2,98
1629628,RJ Barrett,1610612761,58,32.2,54.1,99
1630249,Vít Krejčí,1610612737,57,20.2,54.1,100
1631260,AJ Green,1610612749,73,22.7,54.1,101
1628960,Grayson Allen,1610612756,64,24.1,54.1,102
1631255,Karlo Matković,1610612740,42,18.8,54.0,103
203497,Rudy Gobert,1610612750,72,33.2,53.9,104
203991,Clint Capela,1610612737,55,21.4,53.8,105
1627832,Fred VanVleet,1610612745,60,35.2,53.8,106
1629639,Tyler Herro,1610612748,77,35.4,53.4,107
201144,Mike Conley,1610612750,71,24.7,53.2,108
1641709,Ausar Thompson,1610612765,59,22.5,53.1,109
203110,Draymond Green,1610612744,68,29.2,53.1,110
1631165,Keon Ellis,1610612758,80,24.4,52.8,111
1630217,Desmond Bane,1610612753,69,32.0,52.8,112
1641705,Victor Wembanyama,1610612759,46,33.2,52.6,113
1630534,Ochai Agbaji,1610612761,64,27.2,52.6,114
203944,Julius Randle,1610612750,69,32.3,52.6,115
1630558,Davion Mitchell,1610612748,74,27.4,52.1,116
