PLAYER_ID,PLAYER_NAME,TEAM_ID,POSITION,GP,MIN,ast_tov_ratio,late_clock_efficiency,clutch_ast_tov,efg_pct,deflections_per_36,screen_assists_per_36,shooting_foul_pct,personal_foul_rate,age,ast_pct
1629628,RJ Barrett,1610612761,SF,58,32.200,1.862,0.387,2.333,0.521,2.400,0.410,17.354,2.600,24,27.300
1641706,Brandon Miller,1610612766,SF,27,34.200,1.286,0.310,0.750,0.508,2.330,1.330,11.418,2.900,22,18.300
1630224,Jalen Green,1610612745,SG,82,32.900,1.360,0.309,1.000,0.506,1.230,0.100,8.214,1.700,22,16.000
1629636,Darius Garland,1610612739,PG,75,30.700,2.680,0.403,6.000,0.561,1.930,0.230,10.089,2.200,25,32.200
1629673,Jordan Poole,1610612764,SG,68,29.400,1.500,0.372,1.000,0.545,1.740,0.500,16.903,3.600,25,25.600
1629632,Coby White,1610612741,SG,74,33.100,1.875,0.423,1.500,0.553,1.300,0.330,11.596,2.300,24,19.500
1628970,Miles Bridges,1610612766,PF,64,31.700,1.857,0.332,1.500,0.494,1.450,0.560,9.477,1.700,26,21.700
1630559,Austin Reaves,1610612747,SG,73,34.900,2.417,0.333,4.000,0.553,1.880,0.670,15.417,2.100,26,24.900
1627783,Pascal Siakam,1610612754,PF,78,32.700,2.429,0.408,2.000,0.572,2.050,1.000,14.207,2.700,30,15.700
204001,Kristaps Porziņģis,1610612738,C,42,28.800,1.615,0.455,2.000,0.573,1.600,1.980,28.857,3.500,29,11.400
1629014,Anfernee Simons,1610612757,SG,70,32.700,2.400,0.349,2.000,0.519,1.210,0.090,12.446,1.800,25,23.300
1630567,Scottie Barnes,1610612761,PF,65,32.800,2.071,0.359,1.000,0.482,2.250,0.750,8.820,1.900,23,27.700
1630217,Desmond Bane,1610612753,SG,69,32.000,2.208,,1.333,0.561,1.840,0.170,,2.700,26,23.600
1630578,Alperen Sengun,1610612745,C,76,31.500,1.885,0.454,2.000,0.510,2.440,3.330,17.608,3.100,22,24.100
1627734,Domantas Sabonis,1610612758,C,70,34.700,2.069,0.500,1.500,0.621,1.800,5.990,23.748,3.400,28,26.000
1628381,John Collins,1610612762,PF,40,30.500,0.769,0.548,0.250,0.583,1.600,1.530,23.761,3.400,27,10.800
1628374,Lauri Markkanen,1610612762,PF,47,31.400,1.071,0.341,0.500,0.520,1.550,1.230,10.913,1.900,27,7.500
1630552,Jalen Johnson,1610612737,SF,36,35.700,1.724,0.275,0.667,0.536,2.670,0.920,12.660,1.900,23,20.500
1629661,Cameron Johnson,1610612751,PF,57,31.600,2.000,0.400,0.500,0.580,1.750,0.490,12.995,2.100,28,18.500
203944,Julius Randle,1610612750,PF,69,32.300,1.679,0.430,1.000,0.544,1.500,1.740,16.922,2.800,30,22.500
1630169,Tyrese Haliburton,1610612754,PG,73,33.600,5.750,0.395,4.000,0.580,2.900,0.430,9.870,1.400,24,38.900
1630596,Evan Mobley,1610612739,PF,71,30.500,1.600,0.466,1.000,0.602,1.720,2.310,22.391,2.300,23,15.100
202696,Nikola Vučević,1610612741,C,73,31.200,2.188,0.433,1.000,0.592,1.560,2.950,20.133,2.600,34,17.100
1631101,Shaedon Sharpe,1610612757,SG,72,31.300,1.333,0.375,0.667,0.516,1.220,0.130,8.940,1.900,21,14.200
1629012,Collin Sexton,1610612762,SG,63,27.900,1.680,0.463,1.000,0.540,1.600,0.480,17.684,2.900,26,25.100
1629008,Michael Porter Jr.,1610612743,SF,77,33.700,1.500,0.403,2.000,0.599,1.340,0.680,18.487,2.200,26,8.700
1628389,Bam Adebayo,1610612748,C,78,34.300,2.048,0.423,2.000,0.517,3.060,3.370,14.734,2.200,27,20.000
203952,Andrew Wiggins,1610612748,SF,60,30.700,1.529,0.574,1.000,0.529,1.520,0.280,38.278,2.000,29,13.500
1628384,OG Anunoby,1610612752,PF,74,36.600,1.571,0.425,2.000,0.558,3.280,0.500,19.418,2.300,27,8.500
1631093,Jaden Ivey,1610612765,SG,30,29.900,1.333,0.446,1.667,0.533,1.630,0.400,13.919,2.700,22,19.700
1628969,Mikal Bridges,1610612752,SF,82,37.000,2.312,0.416,3.000,0.569,1.710,0.400,8.723,1.500,28,14.400
1627749,Dejounte Murray,1610612740,PG,31,32.600,2.176,0.280,5.000,0.450,3.480,0.230,7.338,2.200,28,34.600
202710,Jimmy Butler III,1610612744,SF,55,31.700,4.154,0.390,2.000,0.532,2.980,1.070,15.412,1.100,35,25.500
1628370,Malik Monk,1610612758,SG,65,31.600,2.333,0.314,2.000,0.510,1.710,0.510,25.773,2.800,26,25.700
1630193,Immanuel Quickley,1610612761,PG,33,27.800,3.222,0.324,2.900,0.519,1.530,0.340,12.236,2.400,25,31.500
203078,Bradley Beal,1610612756,SG,53,32.100,1.947,0.484,2.000,0.569,2.420,0.250,26.565,2.900,31,17.600
1629631,De'Andre Hunter,1610612739,SF,64,27.200,1.077,0.419,0.969,0.576,1.360,0.410,63.191,3.200,27,7.500
1630166,Deni Avdija,1610612757,SF,72,30.000,1.444,0.390,1.500,0.551,1.710,0.250,26.099,2.800,24,19.900
1627826,Ivica Zubac,1610612746,C,80,32.800,1.688,0.559,1.000,0.627,1.130,3.440,23.330,2.300,27,12.800
1641718,Keyonte George,1610612762,PG,67,31.500,2.074,0.383,1.000,0.489,1.160,0.400,8.254,1.900,21,26.900
1628401,Derrick White,1610612738,SG,76,33.900,2.824,0.376,2.500,0.583,2.080,0.360,18.881,1.900,30,20.200
1630170,Devin Vassell,1610612759,SG,64,31.000,2.071,0.358,1.500,0.536,2.280,0.110,12.541,2.000,24,13.800
1627736,Malik Beasley,1610612765,SG,82,27.800,1.700,0.372,1.530,0.576,1.640,0.310,11.410,2.000,28,8.900
1630591,Jalen Suggs,1610612753,PG,35,28.600,1.276,0.248,2.000,0.489,2.970,0.260,18.409,3.500,23,21.600
203903,Jordan Clarkson,1610612762,SG,37,26.000,1.609,0.356,0.750,0.492,1.350,0.540,8.202,1.900,32,22.900
202331,Paul George,1610612755,PF,41,32.500,1.654,0.429,1.000,0.514,3.930,0.240,18.871,2.700,34,20.900
1631097,Bennedict Mathurin,1610612754,SF,72,29.900,1.000,0.318,0.333,0.517,1.260,0.170,20.735,2.700,22,8.800
1626167,Myles Turner,1610612754,C,72,30.200,0.882,0.435,0.500,0.575,1.430,2.830,26.112,3.000,28,7.100
1631128,Christian Braun,1610612743,SG,79,33.900,2.600,0.442,3.000,0.630,1.820,0.810,22.417,2.300,23,10.100
1642272,Jared McCain,1610612755,SG,23,25.700,1.625,0.404,0.000,0.555,1.350,0.150,5.772,2.300,20,16.700
1630228,Jonathan Kuminga,1610612744,PF,47,24.300,1.467,0.300,0.000,0.496,1.570,0.360,12.935,2.800,22,14.600
1631109,Mark Williams,1610612766,C,44,26.600,1.562,0.730,0.667,0.598,1.390,3.050,26.870,3.200,23,16.500
1626162,Kelly Oubre Jr.,1610612755,SF,60,34.600,1.385,0.344,1.000,0.516,4.200,0.230,21.255,3.100,29,7.900
1631096,Chet Holmgren,1610612760,C,32,27.400,1.111,0.477,1.000,0.551,0.940,1.470,22.646,3.000,22,9.700
1628398,Kyle Kuzma,1610612749,PF,65,29.800,1.045,0.308,1.000,0.496,0.880,0.220,35.582,2.200,29,12.100
203932,Aaron Gordon,1610612743,PF,51,28.400,2.286,0.458,2.057,0.613,0.940,0.750,25.885,2.000,29,15.000
1629023,P.J. Washington,1610612742,PF,57,32.200,1.095,0.373,3.000,0.521,2.120,0.530,19.406,2.600,26,10.100
1642264,Stephon Castle,1610612759,PG,81,26.700,1.864,0.327,1.667,0.475,1.780,0.280,14.394,2.700,20,22.800
1630581,Josh Giddey,1610612741,PG,70,30.200,2.483,0.402,4.000,0.531,2.220,0.360,19.191,2.100,22,32.900
1629656,Quentin Grimes,1610612755,SG,75,26.800,1.579,0.465,2.000,0.564,1.690,0.240,28.233,2.500,24,17.700
1627751,Jakob Poeltl,1610612761,C,57,29.600,1.474,0.535,0.500,0.627,2.700,3.890,33.746,3.800,29,14.500
1629028,Deandre Ayton,1610612757,C,40,30.100,0.941,0.415,2.000,0.573,1.350,4.100,22.773,2.600,26,8.500
1641711,Gradey Dick,1610612761,SG,54,29.400,1.200,0.301,1.000,0.496,2.000,0.310,15.129,2.700,21,8.900
203924,Jerami Grant,1610612757,PF,47,32.400,1.500,0.425,0.500,0.471,2.260,0.190,15.057,2.600,30,9.500
1630202,Payton Pritchard,1610612738,PG,80,28.400,3.500,0.414,2.000,0.620,1.410,0.320,9.294,1.900,27,18.100
1629675,Naz Reid,1610612750,C,80,27.500,1.643,0.439,0.000,0.557,1.630,1.110,27.663,3.100,25,12.600
1641708,Amen Thompson,1610612745,SF,69,32.300,1.900,0.507,2.000,0.574,2.900,0.360,18.302,2.700,22,16.900
1630700,Dyson Daniels,1610612737,SG,76,33.800,2.200,0.448,1.500,0.541,5.890,0.430,19.130,2.500,21,17.900
1627832,Fred VanVleet,1610612745,PG,60,35.200,3.733,0.327,4.000,0.484,3.070,0.770,15.810,2.400,30,21.200
1630544,Tre Mann,1610612766,PG,13,24.500,1.579,0.409,0.750,0.508,1.230,0.310,13.115,2.700,23,21.200
1628415,Dillon Brooks,1610612745,SF,75,31.800,1.700,0.321,1.000,0.534,1.880,0.650,22.353,3.600,29,7.400
202691,Klay Thompson,1610612742,SF,72,27.300,1.667,0.395,2.000,0.533,1.220,0.420,9.763,1.500,34,10.700
1642449,Tolu Smith,1610612765,PF,1,22.400,0.000,,0.000,0.667,0.000,4.000,0.000,4.900,24,0.000
1626171,Bobby Portis,1610612749,PF,49,25.400,1.750,0.410,1.575,0.525,1.570,1.370,17.727,2.700,29,12.900
202699,Tobias Harris,1610612765,PF,73,31.600,1.833,0.364,2.000,0.536,1.640,0.920,21.808,2.200,32,9.800
1628404,Josh Hart,1610612752,SG,77,37.600,2.810,0.453,1.333,0.575,2.840,1.620,27.414,2.500,29,20.700
1628386,Jarrett Allen,1610612739,C,82,28.000,1.583,0.625,1.000,0.705,1.790,3.850,24.047,2.000,26,9.500
1630168,Onyeka Okongwu,1610612737,C,74,27.900,1.917,0.491,2.000,0.598,1.910,2.410,37.879,3.400,24,11.400
201566,Russell Westbrook,1610612743,PG,75,27.900,1.906,0.321,1.000,0.509,2.450,0.290,20.737,3.200,36,28.800
1630230,Naji Marshall,1610612742,SF,69,27.800,1.875,0.437,3.000,0.549,1.820,0.350,14.410,2.000,27,15.800
203471,Dennis Schröder,1610612765,PG,75,28.100,2.842,0.327,2.500,0.486,1.830,0.230,51.802,3.100,31,28.700
1629060,Rui Hachimura,1610612747,PF,59,31.700,1.750,0.481,1.575,0.597,1.660,0.470,16.444,2.000,26,6.400
1642259,Alex Sarr,1610612764,C,67,27.100,1.412,0.363,2.000,0.460,1.490,3.850,22.819,2.900,19,13.900
201572,Brook Lopez,1610612749,C,80,31.800,1.636,0.452,1.000,0.593,1.480,2.690,25.052,2.400,36,7.800
1629021,Moritz Wagner,1610612753,C,30,18.800,0.875,0.349,0.787,0.620,2.480,1.860,20.389,3.500,27,13.700
1629640,Keldon Johnson,1610612759,SF,77,23.900,1.600,0.366,1.440,0.535,1.220,0.260,17.386,2.300,25,10.200
1627763,Malcolm Brogdon,1610612764,PG,24,23.500,2.562,0.487,2.306,0.465,1.210,0.250,7.143,1.900,32,27.400
1630703,Scoot Henderson,1610612757,PG,66,26.700,1.889,0.354,3.000,0.490,2.710,0.150,21.470,3.700,20,28.100
1626156,D'Angelo Russell,1610612751,PG,58,25.500,2.684,0.343,1.667,0.477,2.180,0.470,32.506,2.800,28,31.200
1642258,Zaccharie Risacher,1610612737,SF,75,24.600,1.000,0.429,0.900,0.538,1.590,0.320,24.712,2.900,19,7.100
1630583,Santi Aldama,1610612763,PF,65,25.500,2.636,0.418,2.373,0.570,1.280,0.320,15.142,1.600,24,15.200
1629660,Ty Jerome,1610612739,SG,70,19.900,2.615,0.459,2.000,0.614,2.310,0.260,11.004,2.600,27,24.500
1631099,Keegan Murray,1610612758,PF,76,34.300,1.750,0.390,1.575,0.537,1.410,0.530,26.050,2.600,24,5.600
1629022,Lonnie Walker IV,1610612755,SG,20,23.800,1.923,0.360,1.731,0.533,1.170,0.110,17.153,2.000,26,16.500
1630245,Ayo Dosunmu,1610612741,SG,46,30.300,3.000,0.266,2.700,0.556,1.520,0.330,22.199,2.700,25,20.200
1641731,Bilal Coulibaly,1610612764,SF,59,33.000,1.619,0.273,2.000,0.476,2.590,0.460,16.175,2.600,20,14.900
1629655,Daniel Gafford,1610612742,C,57,21.500,1.167,0.630,1.000,0.704,1.420,2.580,46.540,4.500,26,10.200
203084,Harrison Barnes,1610612759,PF,82,27.200,2.833,0.476,1.000,0.620,1.000,0.580,14.123,1.200,32,8.600
1631095,Jabari Smith Jr.,1610612745,PF,57,30.100,1.000,0.404,0.900,0.530,1.260,0.600,22.392,2.600,21,4.700
1630183,Jaden McDaniels,1610612750,PF,82,31.900,1.667,0.404,2.000,0.539,2.660,0.390,24.702,3.100,24,9.000
1627747,Caris LeVert,1610612737,SG,64,24.900,2.833,0.543,2.000,0.559,2.280,0.110,28.725,2.200,30,18.100
1631166,Drew Timme,1610612751,PF,9,28.200,1.294,0.381,1.165,0.487,1.220,1.440,5.368,3.000,24,13.100
1630174,Aaron Nesmith,1610612754,SF,45,24.900,1.500,0.433,1.350,0.625,1.290,0.310,32.531,3.700,25,6.600
1630598,Aaron Wiggins,1610612760,SG,76,22.900,2.000,0.384,1.800,0.578,1.750,0.380,20.051,2.100,26,10.600
203497,Rudy Gobert,1610612750,C,72,33.200,1.500,0.531,0.500,0.662,1.750,4.780,31.222,2.700,32,7.500
1631106,Tari Eason,1610612745,PF,57,24.900,1.364,0.383,0.000,0.546,2.470,0.140,21.747,3.400,23,8.500
203114,Khris Middleton,1610612764,SF,37,22.800,2.733,0.263,1.000,0.544,1.620,0.240,50.173,3.200,33,26.800
1631105,Jalen Duren,1610612765,C,78,26.100,1.588,0.696,0.500,0.686,1.410,3.630,55.639,4.400,21,14.700
1641764,Brandin Podziemski,1610612744,SG,64,26.800,2.833,0.381,1.000,0.541,2.100,0.620,11.445,2.000,21,18.700
1628978,Donte DiVincenzo,1610612750,SG,62,25.900,2.250,0.383,3.000,0.563,2.500,0.350,19.137,2.600,28,20.200
1630557,Corey Kispert,1610612764,SF,61,26.300,1.700,0.395,1.530,0.559,0.970,0.530,19.284,2.200,25,9.700
1631110,Jeremy Sochan,1610612759,PF,54,25.300,1.500,0.420,1.350,0.557,1.610,2.020,22.120,3.500,21,13.700
1641739,Toumani Camara,1610612757,PF,78,32.700,1.571,0.400,1.000,0.549,2.720,1.220,31.283,3.200,24,9.600
1628392,Isaiah Hartenstein,1610612760,C,57,27.900,2.235,0.564,4.000,0.583,2.320,4.330,41.160,3.900,26,18.300
1627741,Buddy Hield,1610612744,SG,82,22.700,1.455,0.341,1.309,0.547,1.770,0.210,16.311,2.600,32,10.700
1629018,Gary Trent Jr.,1610612749,SG,74,25.600,2.000,0.339,0.000,0.562,2.190,0.150,14.173,2.400,26,6.400
201950,Jrue Holiday,1610612738,PG,62,30.600,3.250,0.388,3.000,0.538,2.150,0.680,21.234,1.900,34,17.300
1631117,Walker Kessler,1610612762,C,58,30.000,1.133,0.606,1.020,0.674,1.590,2.880,33.903,2.700,23,8.300
