Player,Team,G,MP,Fouls Committed_Shoot,shooting_fouls_per_36
Luka Garza,MIN,39,219,18,2.959
Ariel Hukporti,NYK,25,217,24,3.982
Alex Reese,2TM,15,216,15,2.5
Alex Reese,OKC,1,2,0,0.0
Alex Reese,PHI,14,214,15,2.523
Dario Å ariÄ,DEN,16,210,11,1.886
Adam Flagler,OKC,37,203,10,1.773
Chuma Okeke,2TM,9,196,2,0.367
Chuma Okeke,PHI,7,171,2,0.421
Chuma Okeke,CLE,2,25,0,0.0
Drew Peterson,BOS,25,186,12,2.323
Markelle Fultz,SAC,21,184,3,0.587
Lester QuiÃ±ones,2TM,13,183,11,2.164
Lester QuiÃ±ones,PHI,4,17,0,0.0
Lester QuiÃ±ones,NOP,9,166,11,2.386
Bronny James,LAL,27,181,9,1.79
Enrique Freeman,IND,22,181,13,2.586
Cole Swider,2TM,10,169,8,1.704
Cole Swider,DET,2,13,1,2.769
Cole Swider,TOR,8,156,7,1.615
Jaylen Nowell,NOP,8,168,7,1.5
Markieff Morris,2TM,15,165,10,2.182
Markieff Morris,DAL,7,41,2,1.756
Markieff Morris,LAL,8,124,8,2.323
Killian Hayes,BRK,6,162,8,1.778
MarJon Beauchamp,3TM,35,156,7,1.615
MarJon Beauchamp,MIL,26,122,6,1.77
MarJon Beauchamp,LAC,3,17,1,2.118
MarJon Beauchamp,NYK,6,17,0,0.0
Lamar Stevens,MEM,17,155,4,0.929
Tyson Etienne,BRK,7,151,10,2.384
Josh Richardson,MIA,8,150,7,1.68
Jeenathan Williams,HOU,20,147,10,2.449
Bruno Fernando,TOR,17,147,12,2.939
Damion Lee,PHO,25,144,3,0.75
Oshae Brissett,PHI,6,142,10,2.535
Elijah Harkless,UTA,10,138,8,2.087
Pete Nance,2TM,13,138,8,2.087
Pete Nance,PHI,7,68,4,2.118
Pete Nance,MIL,6,70,4,2.057
Vlatko ÄanÄar,DEN,13,136,5,1.324
Kylor Kelley,2TM,11,126,10,2.857
Kylor Kelley,DAL,8,67,6,3.224
Kylor Kelley,NOP,3,59,4,2.441
Alex Ducas,OKC,21,125,10,2.88
Spencer Jones,DEN,20,125,11,3.168
Kobe Bufkin,ATL,10,124,5,1.452
Tyler Smith,MIL,23,122,5,1.475
De'Anthony Melton,GSW,6,121,6,1.785
Moses Brown,2TM,13,119,16,4.84
Moses Brown,IND,9,46,5,3.913
Moses Brown,DAL,4,73,11,5.425
TyTy Washington Jr.,PHO,16,118,3,0.915
Trey Alexander,DEN,24,117,5,1.538
Joe Ingles,MIN,19,114,4,1.263
Sidy Cissoko,2TM,22,114,7,2.211
Sidy Cissoko,SAS,17,54,4,2.667
Sidy Cissoko,POR,5,60,3,1.8
Tony Bradley,IND,14,113,6,1.912
Jaylen Sims,CHO,6,112,3,0.964
Pacome Dadiet,NYK,18,111,3,0.973
Patrick Baldwin Jr.,2TM,24,107,6,2.019
Patrick Baldwin Jr.,WAS,22,101,4,1.426
Patrick Baldwin Jr.,LAC,2,6,2,12.0
Chris Livingston,MIL,21,106,3,1.019
Jae Crowder,SAC,9,103,8,2.796
Justin Minaya,POR,19,101,6,2.139
Keshad Johnson,MIA,16,98,9,3.306
Yuki Kawamura,MEM,22,93,2,0.774
JD Davison,BOS,16,93,1,0.387
Luke Travers,CLE,12,88,2,0.818
Stanley Umude,MIL,22,86,3,1.256
Kevin Knox,GSW,14,84,5,2.143
Isaiah Jackson,IND,5,84,8,3.429
Marcus Garrett,CHO,4,79,6,2.734
Jacob Toppin,2TM,17,76,2,0.947
Jacob Toppin,NYK,16,49,2,1.469
Jacob Toppin,ATL,1,27,0,0.0
Emoni Bates,CLE,10,75,1,0.48
Taylor Hendricks,UTA,3,75,5,2.4
Chris Duarte,CHI,17,74,3,1.459
Daeqwon Plowden,ATL,6,72,3,1.5
RayJ Dennis,IND,11,70,2,1.029
Josh Christopher,MIA,14,69,0,0.0
Matt Ryan,NYK,19,68,1,0.529
Armel TraorÃ©,LAL,9,67,0,0.0
PJ Hall,DEN,19,66,5,2.727
Nae'Qwan Tomlin,CLE,5,63,6,3.429
Jamaree Bouyea,MIL,5,62,1,0.581
Cam Christie,LAC,13,59,2,1.22
P.J. Tucker,NYK,3,58,2,1.241
Jazian Gortman,DAL,16,57,4,2.526
Liam Robbins,MIL,13,57,5,3.158
E.J. Liddell,CHI,12,53,4,2.717
Jackson Rowe,GSW,6,52,1,0.692
N'Faly Dante,HOU,4,51,7,4.941
Isaiah Crawford,SAC,15,46,0,0.0
Mason Jones,SAC,10,45,1,0.8
Phillip Wheeler,PHI,5,44,1,0.818
Malachi Flynn,CHO,4,44,3,2.455
Jack McVeigh,HOU,9,43,1,0.837
Bobi Klintman,DET,8,42,7,6.0
James Johnson,IND,12,37,4,3.892
PJ Dozier,MIN,9,35,1,1.029
Harrison Ingram,SAS,5,35,1,1.029
Miles Norris,BOS,3,35,0,0.0
David Duke Jr.,SAS,6,34,0,0.0
D.J. Carton,TOR,4,33,1,1.091
Bryce McGowens,POR,13,32,1,1.125
Leonard Miller,MIN,13,32,2,2.25
Ulrich Chomche,TOR,7,32,5,5.625
Jalen Bridges,PHO,8,30,0,0.0
Jahmir Young,CHI,6,30,2,2.4
Kevin McCullar Jr.,NYK,4,29,6,7.448
Trentyn Flowers,LAC,6,27,1,1.333
Emanuel Miller,CHI,6,25,1,1.44
Daniss Jenkins,DET,7,23,1,1.565
Anton Watson,NYK,9,22,1,1.636
Tolu Smith,DET,1,22,0,0.0
Malevy Leons,OKC,6,21,3,5.143
Adama Sanogo,CHI,4,21,1,1.714
Taze Moore,POR,2,20,0,0.0
Ron Harper Jr.,DET,1,17,0,0.0
Isaiah Mobley,PHI,1,17,2,4.235
Yuri Collins,GSW,2,16,3,6.75
Tristen Newton,2TM,8,16,1,2.25
Tristen Newton,IND,5,8,1,4.5
Tristen Newton,MIN,3,8,0,0.0
Daishen Nix,MIN,3,13,1,2.769
Skal LabissiÃ¨re,SAC,4,12,1,3.0
Braxton Key,GSW,3,11,0,0.0
Cui Yongxi,BRK,5,10,0,0.0
Mac McClung,ORL,2,10,2,7.2
Quincy Olivari,LAL,2,10,0,0.0
Terence Davis,SAC,1,8,0,0.0
Jalen McDaniels,WAS,4,7,0,0.0
Riley Minix,SAS,1,7,0,0.0
Isaiah Stevens,MIA,3,6,0,0.0
Terry Taylor,SAC,3,6,0,0.0
Jesse Edwards,MIN,2,5,1,7.2
James Wiseman,IND,1,5,0,0.0
Alondes Williams,DET,1,4,0,0.0
Zyon Pullin,MEM,3,3,0,0.0
Jahlil Okafor,IND,1,3,0,0.0
