Player,Team,G,MP,Fouls Committed_Shoot,shooting_fouls_per_36
Andrew Wiggins,2TM,60,1842,56,1.094
Andrew Wiggins,GSW,43,1296,38,1.056
Andrew Wiggins,MIA,17,546,18,1.187
Isaiah Collier,UTA,71,1839,71,1.39
Keldon Johnson,SAS,77,1838,66,1.293
Royce O'Neale,PHO,75,1837,91,1.783
P.J. Washington,DAL,57,1835,68,1.334
CJ McCollum,NOP,56,1832,59,1.159
Haywood Highsmith,MIA,74,1818,80,1.584
Dorian Finney-Smith,2TM,63,1818,68,1.347
Dorian Finney-Smith,BRK,20,579,28,1.741
Dorian Finney-Smith,LAL,43,1239,40,1.162
Alex Sarr,WAS,67,1814,93,1.846
Kyrie Irving,DAL,50,1804,48,0.958
Kyshawn George,WAS,68,1802,119,2.377
Cameron Johnson,BRK,57,1800,46,0.92
Duncan Robinson,MIA,74,1785,81,1.634
Kris Dunn,LAC,74,1783,102,2.059
Luka DonÄiÄ,2TM,50,1769,55,1.119
Luka DonÄiÄ,DAL,22,785,26,1.192
Luka DonÄiÄ,LAL,28,984,29,1.061
Scoot Henderson,POR,66,1759,78,1.596
Wendell Carter Jr.,ORL,68,1758,101,2.068
Collin Sexton,UTA,63,1758,73,1.495
Mike Conley,MIN,71,1756,58,1.189
Amir Coffey,LAC,72,1748,64,1.318
Jimmy Butler,2TM,55,1746,29,0.598
Jimmy Butler,MIA,25,766,12,0.564
Jimmy Butler,GSW,30,980,17,0.624
Aaron Wiggins,OKC,76,1744,71,1.466
Walker Kessler,UTA,58,1740,81,1.676
De'Andre Hunter,2TM,64,1740,72,1.49
De'Andre Hunter,ATL,37,1064,40,1.353
De'Andre Hunter,CLE,27,676,32,1.704
Ochai Agbaji,TOR,64,1739,72,1.491
Brandin Podziemski,GSW,64,1716,36,0.755
Jabari Smith Jr.,HOU,57,1716,69,1.448
Anthony Davis,2TM,51,1706,60,1.266
Anthony Davis,LAL,42,1440,48,1.2
Anthony Davis,DAL,9,266,12,1.624
Bradley Beal,PHO,53,1702,87,1.84
Georges Niang,2TM,79,1697,97,2.058
Georges Niang,CLE,51,1053,58,1.983
Georges Niang,ATL,28,644,39,2.18
Jakob Poeltl,TOR,57,1686,96,2.05
Scotty Pippen Jr.,MEM,79,1683,89,1.904
Kevin Huerter,2TM,69,1679,76,1.63
Kevin Huerter,SAC,43,899,48,1.922
Kevin Huerter,CHI,26,780,28,1.292
Santi Aldama,MEM,65,1660,46,0.998
A.J. Green,MIL,73,1659,90,1.953
Al Horford,BOS,60,1659,55,1.193
Terry Rozier,MIA,64,1658,31,0.673
Peyton Watson,DEN,68,1656,82,1.783
Moses Moody,GSW,74,1649,53,1.157
Tristan Da Silva,ORL,74,1629,51,1.127
Donte DiVincenzo,MIN,62,1606,55,1.233
Isaiah Joe,OKC,74,1604,54,1.212
Corey Kispert,WAS,61,1602,50,1.124
Caris LeVert,2TM,64,1596,46,1.038
Caris LeVert,CLE,38,904,21,0.836
Caris LeVert,ATL,26,692,25,1.301
Miles McBride,NYK,64,1593,50,1.13
Isaiah Hartenstein,OKC,57,1590,90,2.038
Gradey Dick,TOR,54,1587,58,1.316
Paolo Banchero,ORL,46,1582,59,1.343
Patrick Williams,CHI,63,1576,50,1.142
Obi Toppin,IND,79,1545,61,1.421
Grayson Allen,PHO,64,1544,52,1.212
Sam Hauser,BOS,71,1541,45,1.051
Ziaire Williams,BRK,63,1541,75,1.752
Gabe Vincent,LAL,72,1527,84,1.98
Victor Wembanyama,SAS,46,1527,56,1.32
Jerami Grant,POR,47,1524,46,1.087
Jonas ValanÄiÅ«nas,2TM,81,1524,97,2.291
Jonas ValanÄiÅ«nas,WAS,49,983,49,1.795
